NO TES,EMAIL,NAMA,PRODI,Kesimpulan,Hasil
TES-AKD-2026-03466,dacinardia326@yahoo.com,Dacin Ardianto,KESELAMATAN DAN KESEHATAN KERJA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03468,eluhputra308@yahoo.com,Eluh Putra,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03469,umayaputra480@yahoo.com,Umaya Putra,DATA SCIENCE,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03472,michellera596@outlook.com,Michelle Rahimah,TEKNIK PERTAMBANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03474,dindanovit358@gmail.com,Dinda Novitasari,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03475,galihfirma439@gmail.com,Galih Firmansyah,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03476,luweshutag211@pln.co.id,Luwes Hutagalung,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03477,betaniasud112@pln.co.id,Betania Sudiati,MANAJEMEN INVESTASI BANK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03478,malikmegan566@gmail.com,Malik Megantara,HUKUM,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03480,alambanagu772@outlook.com,Alambana Gunarto,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03481,irahasanah568@outlook.com,Ira Hasanah,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03482,catursihom383@yahoo.com,Catur Sihombing,PSIKOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03483,adinatasim95@pln.co.id,Adinata Simanjuntak,DIGITAL MARKETING DAN ANALYTICS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03484,cahyonopra722@pln.co.id,Cahyono Prakasa,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03486,nugrahaisw428@yahoo.com,Nugraha Iswahyudi,KESELAMATAN DAN KESEHATAN KERJA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03487,hafshahuya943@outlook.com,Hafshah Uyainah,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03488,estionosur875@outlook.com,Estiono Suryono,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03489,omarprakas914@yahoo.com,Omar Prakasa,KONVERSI ENERGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03490,hanifarida574@pln.co.id,Hani Farida,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03491,tinawinars376@outlook.com,Tina Winarsih,PROGRAM STUDI LAINNYA TEKNIK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03492,taswirtari241@yahoo.com,Taswir Tarihoran,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03493,malikprasa997@gmail.com,Malik Prasasta,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03494,michelleha585@yahoo.com,Michelle Handayani,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03495,elmapermat261@outlook.com,Elma Permata,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03496,windazulai592@gmail.com,Winda Zulaika,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03499,lukitasala212@pln.co.id,Lukita Salahudin,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03500,farahwulan785@pln.co.id,Farah Wulandari,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03502,anitayolan253@yahoo.com,Anita Yolanda,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03503,xananasury946@outlook.com,Xanana Suryono,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03506,ayukusmawa489@outlook.com,Ayu Kusmawati,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03507,puspamanda983@pln.co.id,Puspa Mandasari,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03509,novirahayu751@pln.co.id,Novi Rahayu,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03510,wanipuspit662@outlook.com,Wani Puspita,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03511,jononajmud391@gmail.com,Jono Najmudin,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03513,pangestuma712@pln.co.id,Pangestu Marpaung,TEKNIK GEODESI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03514,sabarhalim435@outlook.com,Sabar Halim,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03515,gabriellam983@outlook.com,Gabriella Mulyani,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03518,nadiazulai345@outlook.com,Nadia Zulaika,MANAJEMEN ASET,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03519,kartikapad325@gmail.com,Kartika Padmasari,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03521,lalaanggra617@gmail.com,Lala Anggraini,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03522,irianamuly580@pln.co.id,Iriana Mulyani,KEUANGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03526,cakrabiraw335@yahoo.com,Cakrabirawa Adriansyah,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03527,cakrabiraw976@outlook.com,Cakrabirawa Mansur,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03528,puputwidia28@gmail.com,Puput Widiastuti,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03529,kasiyahand146@outlook.com,Kasiyah Andriani,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03531,putihassan127@outlook.com,Puti Hassanah,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03533,bahuraksas531@gmail.com,Bahuraksa Siregar,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03534,ellisfarid853@yahoo.com,Ellis Farida,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03535,wawansetia815@gmail.com,Wawan Setiawan,SUPPLY CHAIN MANAGEMENT,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03536,uchitawidi313@yahoo.com,Uchita Widiastuti,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03538,najwayunia515@pln.co.id,Najwa Yuniar,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03539,dalimakusw883@yahoo.com,Dalima Kuswandari,PSIKOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03541,mustikanat735@gmail.com,Mustika Natsir,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03542,bakionodon416@gmail.com,Bakiono Dongoran,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03546,damarsalah304@gmail.com,Damar Salahudin,KONVERSI ENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03547,bakionosur328@yahoo.com,Bakiono Suryono,PSIKOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03548,jayenghida138@yahoo.com,Jayeng Hidayat,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03549,dewilestar45@yahoo.com,Dewi Lestari,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03550,gambirawid746@outlook.com,Gambira Widodo,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03551,yuliahanda837@gmail.com,Yulia Handayani,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03552,samiahangg75@outlook.com,Samiah Anggraini,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03553,aswanisima68@yahoo.com,Aswani Simanjuntak,TEKNIK KIMIA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03555,wardayasan861@outlook.com,Wardaya Santoso,TEKNIK GEODESI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03557,shaniahali414@outlook.com,Shania Halimah,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03558,damardongo500@outlook.com,Damar Dongoran,DATA SCIENCE,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03559,taniahastu287@pln.co.id,Tania Hastuti,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03560,windamulya162@pln.co.id,Winda Mulyani,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03561,almirapras832@gmail.com,Almira Prastuti,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03564,abyasanash238@yahoo.com,Abyasa Nashiruddin,KONVERSI ENERGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03566,ellautami984@outlook.com,Ella Utami,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03567,rafimahesw311@gmail.com,Rafi Maheswara,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03569,wartaadria169@yahoo.com,Warta Adriansyah,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03571,viktorpran591@outlook.com,Viktor Pranowo,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03572,gildanasyi327@yahoo.com,Gilda Nasyiah,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03573,olivariyan124@outlook.com,Oliva Riyanti,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03574,janetkusma685@gmail.com,Janet Kusmawati,MANAJEMEN RISIKO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03575,usyianggra17@outlook.com,Usyi Anggraini,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03576,zulaikhaok300@gmail.com,Zulaikha Oktaviani,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03577,mariawinar465@pln.co.id,Maria Winarsih,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03579,zahraanggr110@gmail.com,Zahra Anggraini,ELEKTRONIKA DAN INSTRUMENTASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03580,verapermat342@outlook.com,Vera Permata,TEKNIK PERTAMBANGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03583,laswisitor447@gmail.com,Laswi Sitorus,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03584,rinimelani393@yahoo.com,Rini Melani,MANAJEMEN RISIKO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03585,galanguwai178@gmail.com,Galang Uwais,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03586,umaysaputr822@gmail.com,Umay Saputra,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03587,latikamela226@yahoo.com,Latika Melani,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03588,unjanihasa463@gmail.com,Unjani Hasanah,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03592,bancarmahe940@outlook.com,Bancar Maheswara,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03593,maimunahwi120@outlook.com,Maimunah Winarsih,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03595,rizkisireg596@gmail.com,Rizki Siregar,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03596,ivansirega429@outlook.com,Ivan Siregar,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03597,agnesperti575@yahoo.com,Agnes Pertiwi,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03598,anastasian549@yahoo.com,Anastasia Namaga,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03599,cagermarbu263@outlook.com,Cager Marbun,TEKNIK LINGKUNGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03600,unjanifuji758@yahoo.com,Unjani Fujiati,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03601,ulvamardhi598@gmail.com,Ulva Mardhiyah,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03602,halimawahy269@yahoo.com,Halima Wahyuni,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03603,kacungpras155@yahoo.com,Kacung Prasetyo,TEKNIK LISTRIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03606,ajionomahe367@pln.co.id,Ajiono Maheswara,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03607,wawanirawa641@outlook.com,Wawan Irawan,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03608,ikanuraini920@outlook.com,Ika Nuraini,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03610,kasiranzul416@yahoo.com,Kasiran Zulkarnain,PUBLIC POLICY,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03611,yahyapange533@gmail.com,Yahya Pangestu,PSIKOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03614,galionodam409@pln.co.id,Galiono Damanik,ADMINISTRASI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03615,anawastuti710@outlook.com,Ana Wastuti,HUKUM,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03616,nasrullahs107@gmail.com,Nasrullah Suwarno,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03617,chelsealai364@outlook.com,Chelsea Lailasari,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03618,adikarapan250@pln.co.id,Adikara Pangestu,AKUNTANSI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03619,karsamaula399@outlook.com,Karsa Maulana,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03620,wirapratam975@outlook.com,Wira Pratama,PROGRAM STUDI LAINNYA NON TEKNIK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03621,pusparahim661@gmail.com,Puspa Rahimah,MANAJEMEN INVESTASI BANK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03622,piapurwant720@outlook.com,Pia Purwanti,PROGRAM STUDI LAINNYA TEKNIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03623,prakosahar751@gmail.com,Prakosa Haryanto,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03625,damuwaskit923@outlook.com,Damu Waskita,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03626,drajatpras75@yahoo.com,Drajat Prasasta,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03629,humairales689@pln.co.id,Humaira Lestari,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03630,raharjasim446@outlook.com,Raharja Simanjuntak,SAFETY ENGINEERING,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03632,sariwuland654@yahoo.com,Sari Wulandari,ADMINISTRASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03633,cemanihida272@gmail.com,Cemani Hidayanto,TEKNIK BIOENERGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03635,farhunnisa653@outlook.com,Farhunnisa Uyainah,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03637,saifulnats232@yahoo.com,Saiful Natsir,PSIKOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03638,olivianurd938@outlook.com,Olivia Nurdiyanti,ADMINISTRASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03640,putimaryat280@yahoo.com,Puti Maryati,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03642,balaadrian364@yahoo.com,Bala Adriansyah,PSIKOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03643,tantripert797@pln.co.id,Tantri Pertiwi,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03644,yunisafitr967@outlook.com,Yuni Safitri,KONVERSI ENERGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03645,hartanahak187@yahoo.com,Hartana Hakim,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03646,cintautami439@yahoo.com,Cinta Utami,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03647,cecepnugro592@outlook.com,Cecep Nugroho,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03648,estionotar546@outlook.com,Estiono Tarihoran,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03649,raditmegan790@gmail.com,Radit Megantara,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03650,hartakasap204@yahoo.com,Hartaka Saputra,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03651,ekakuswand905@gmail.com,Eka Kuswandari,HUKUM,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03652,rahmisusan378@outlook.com,Rahmi Susanti,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03653,gamblangbu942@yahoo.com,Gamblang Budiman,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03654,parissurya278@pln.co.id,Paris Suryatmi,MANAJEMEN KEUANGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03655,samiahpudj308@pln.co.id,Samiah Pudjiastuti,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03656,raisaharta337@yahoo.com,Raisa Hartati,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03657,wardisanto856@gmail.com,Wardi Santoso,AKUNTANSI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03659,hanarahmaw931@outlook.com,Hana Rahmawati,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03660,vivifujiat180@yahoo.com,Vivi Fujiati,PROGRAM STUDI LAINNYA TEKNIK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03662,luhungmans463@pln.co.id,Luhung Mansur,MATEMATIKA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03663,anomdamani859@outlook.com,Anom Damanik,BIG DATA DAN BUSINESS INTELLIGENCE,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03664,mariadisap391@pln.co.id,Mariadi Saputra,TEKNIK INDUSTRI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03667,teddytamba797@gmail.com,Teddy Tamba,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03668,darijanzul412@gmail.com,Darijan Zulkarnain,TEKNIK PERTAMBANGAN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03669,gabriellap744@outlook.com,Gabriella Permata,HUKUM,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03670,daliminsir452@pln.co.id,Dalimin Sirait,TEKNIK PERTAMBANGAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03671,mamansihot845@outlook.com,Maman Sihotang,KESELAMATAN DAN KESEHATAN KERJA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03672,arissaeful499@outlook.com,Aris Saefullah,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03673,pujiusamah491@gmail.com,Puji Usamah,MANAJEMEN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03675,kaniyoland448@yahoo.com,Kani Yolanda,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03676,garawibiso10@pln.co.id,Gara Wibisono,MANAJEMEN INVESTASI BANK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03677,deviyoland534@gmail.com,Devi Yolanda,TEKNIK INFORMATIKA,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03678,banawidong973@yahoo.com,Banawi Dongoran,MANAJEMEN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03680,qorinurain616@yahoo.com,Qori Nuraini,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03681,ajimatprab248@yahoo.com,Ajimat Prabowo,PSIKOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03682,widyariyan769@yahoo.com,Widya Riyanti,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03683,nataliaary283@yahoo.com,Natalia Aryani,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03687,putrirahma679@gmail.com,Putri Rahmawati,MANAJEMEN PROYEK,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03688,inakusmawa186@pln.co.id,Ina Kusmawati,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03689,titihassan406@gmail.com,Titi Hassanah,TEKNIK GEOLOGI,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03691,jessicapus270@outlook.com,Jessica Puspasari,TEKNIK GEOLOGI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03692,pujilailas35@yahoo.com,Puji Lailasari,MANAJEMEN RISIKO,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03693,mulyantosi860@gmail.com,Mulyanto Sitorus,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03694,unjanimuly348@outlook.com,Unjani Mulyani,KESELAMATAN DAN KESEHATAN KERJA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03695,indahfujia773@pln.co.id,Indah Fujiati,TEKNIK SIPIL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03698,harjayanas950@pln.co.id,Harjaya Nashiruddin,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03699,asmiantoja959@gmail.com,Asmianto Januar,MATEMATIKA,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03701,inakuswand982@outlook.com,Ina Kuswandari,TEKNIK MATERIAL,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03702,daryanisit136@yahoo.com,Daryani Sitompul,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03703,galakwasit382@outlook.com,Galak Wasita,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03704,ayuriyanti309@yahoo.com,Ayu Riyanti,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03707,pariswinar548@pln.co.id,Paris Winarsih,HUKUM,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03709,agneshariy181@gmail.com,Agnes Hariyah,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03710,yulianamar631@gmail.com,Yuliana Mardhiyah,MANAJEMEN PEMASARAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03711,ginanasyid658@outlook.com,Gina Nasyidah,AKUNTANSI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03712,nurulkusma220@yahoo.com,Nurul Kusmawati,ADMINISTRASI BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03713,hasnahariy372@outlook.com,Hasna Hariyah,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03715,wanimaryat864@yahoo.com,Wani Maryati,MANAJEMEN BISNIS,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03716,melindapur713@pln.co.id,Melinda Purnawati,TEKNIK ELEKTRO,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03717,halimnapit32@outlook.com,Halim Napitupulu,TEKNIK MESIN,Berisi semua hasil pemeriksaan,Lolos
TES-AKD-2026-03718,martanawib195@outlook.com,Martana Wibisono,KOMUNIKASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03719,windamardh726@outlook.com,Winda Mardhiyah,ADMINISTRASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03721,prabawaadr35@outlook.com,Prabawa Adriansyah,ELEKTRONIKA DAN INSTRUMENTASI,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03722,solehhiday682@outlook.com,Soleh Hidayat,ENERGI BARU TERBARUKAN,Berisi semua hasil pemeriksaan,Tidak Lolos
TES-AKD-2026-03723,indahkusma786@gmail.com,Indah Kusmawati,KOMUNIKASI,Berisi semua hasil pemeriksaan,Tidak Lolos
