NO TES,EMAIL,NAMA,PRODI,KATEGORI,ABSTRACT_REASONING,VERBAL_REASONING,NUMERICAL_REASONING,TOTAL
TES-AKD-2026-03818,maimunahna744@outlook.com,Maimunah Nasyidah,DIGITAL MARKETING DAN ANALYTICS,I,8,5,8,21
TES-AKD-2026-03819,vanesaangg336@gmail.com,Vanesa Anggraini,KONVERSI ENERGI,I,7,5,6,18
TES-AKD-2026-03820,verosamosi316@pln.co.id,Vero Samosir,TEKNIK GEODESI,I,9,7,8,24
TES-AKD-2026-03821,kuntharapr19@gmail.com,Kunthara Pratama,PROGRAM STUDI LAINNYA TEKNIK,I,6,5,8,19
TES-AKD-2026-03822,mitramansu553@yahoo.com,Mitra Mansur,MANAJEMEN PROYEK,I,4,6,9,19
TES-AKD-2026-03823,laraswijay307@outlook.com,Laras Wijayanti,TEKNIK INFORMATIKA,I,7,8,7,22
TES-AKD-2026-03824,nadinehart346@yahoo.com,Nadine Hartati,TEKNIK GEOLOGI,I,9,7,10,26
TES-AKD-2026-03825,cecepjanua427@outlook.com,Cecep Januar,TEKNIK INDUSTRI,III,5,5,7,17
TES-AKD-2026-03826,nadiaaryan201@outlook.com,Nadia Aryani,PUBLIC POLICY,I,6,9,5,20
TES-AKD-2026-03827,perkasajai74@pln.co.id,Perkasa Jailani,DIGITAL MARKETING DAN ANALYTICS,II,6,7,5,18
TES-AKD-2026-03829,kasusraput849@gmail.com,Kasusra Putra,TEKNIK LINGKUNGAN,I,4,6,10,20
TES-AKD-2026-03830,taniasafit405@yahoo.com,Tania Safitri,PROGRAM STUDI LAINNYA TEKNIK,II,10,8,9,27
TES-AKD-2026-03831,atmautama667@pln.co.id,Atma Utama,TEKNIK MATERIAL,I,8,7,10,25
TES-AKD-2026-03832,ginayoland151@pln.co.id,Gina Yolanda,TEKNIK KIMIA,I,6,7,6,19
TES-AKD-2026-03833,kiandraang682@outlook.com,Kiandra Anggraini,MANAJEMEN PEMASARAN,II,7,8,5,20
TES-AKD-2026-03834,irahalimah564@pln.co.id,Ira Halimah,PUBLIC POLICY,I,5,5,7,17
TES-AKD-2026-03835,anitanasyi724@outlook.com,Anita Nasyidah,ADMINISTRASI BISNIS,I,7,7,7,21
TES-AKD-2026-03836,ciaobellar691@outlook.com,Ciaobella Rahayu,TEKNIK GEOLOGI,I,5,6,9,20
TES-AKD-2026-03837,wulanharya746@yahoo.com,Wulan Haryanti,HUKUM,I,9,9,5,23
TES-AKD-2026-03838,cindyanggr210@gmail.com,Cindy Anggraini,TEKNIK ELEKTRO,II,6,5,7,18
TES-AKD-2026-03839,jumadiiraw223@outlook.com,Jumadi Irawan,ADMINISTRASI,II,5,7,5,17
TES-AKD-2026-03840,haritampub700@outlook.com,Hari Tampubolon,PSIKOLOGI,I,6,7,4,17
TES-AKD-2026-03841,gandipange321@yahoo.com,Gandi Pangestu,TEKNIK INFORMATIKA,I,7,4,7,18
TES-AKD-2026-03842,cintaprast100@gmail.com,Cinta Prastuti,ADMINISTRASI BISNIS,I,6,7,6,19
TES-AKD-2026-03843,umarirawan355@outlook.com,Umar Irawan,ENERGI BARU TERBARUKAN,II,6,5,3,14
TES-AKD-2026-03844,gadingfirg770@outlook.com,Gading Firgantoro,MANAJEMEN KEUANGAN,I,4,5,7,16
TES-AKD-2026-03845,capanatsir396@outlook.com,Capa Natsir,ELEKTRONIKA DAN INSTRUMENTASI,II,6,4,5,15
TES-AKD-2026-03846,novaandria289@pln.co.id,Nova Andriani,TEKNIK BIOENERGI,I,8,6,7,21
TES-AKD-2026-03847,novimulyan126@yahoo.com,Novi Mulyani,TEKNIK INDUSTRI,III,9,6,9,24
TES-AKD-2026-03848,paimansala220@pln.co.id,Paiman Salahudin,HUKUM,II,7,8,3,18
TES-AKD-2026-03849,jayengmang703@yahoo.com,Jayeng Mangunsong,PUBLIC POLICY,I,6,7,7,20
TES-AKD-2026-03850,mumpunisim254@pln.co.id,Mumpuni Simanjuntak,TEKNIK SIPIL,I,8,6,10,24
TES-AKD-2026-03851,wagepradan285@gmail.com,Wage Pradana,TEKNIK INFORMATIKA,I,7,4,7,18
TES-AKD-2026-03852,luwardaman81@pln.co.id,Luwar Damanik,AKUNTANSI,I,6,9,5,20
TES-AKD-2026-03853,putrimelan144@pln.co.id,Putri Melani,MANAJEMEN BISNIS,II,6,7,6,19
TES-AKD-2026-03854,mahdifirga989@pln.co.id,Mahdi Firgantoro,TEKNIK INFORMATIKA,III,6,4,8,18
TES-AKD-2026-03855,nasrullahp471@gmail.com,Nasrullah Putra,SAFETY ENGINEERING,I,7,5,7,19
TES-AKD-2026-03856,prayogoset29@gmail.com,Prayogo Setiawan,ADMINISTRASI,I,6,9,7,22
TES-AKD-2026-03857,jarwisitor553@pln.co.id,Jarwi Sitorus,KONVERSI ENERGI,II,5,5,7,17
TES-AKD-2026-03858,darmanasim886@pln.co.id,Darmana Simanjuntak,TEKNIK LINGKUNGAN,I,9,6,7,22
TES-AKD-2026-03859,victoriala747@pln.co.id,Victoria Laksita,TEKNIK GEOLOGI,I,8,6,7,21
TES-AKD-2026-03860,lamarsihom976@outlook.com,Lamar Sihombing,PSIKOLOGI,I,7,6,9,22
TES-AKD-2026-03861,gabriellal776@gmail.com,Gabriella Laksmiwati,PROGRAM STUDI LAINNYA TEKNIK,II,10,8,7,25
TES-AKD-2026-03862,belindayul499@pln.co.id,Belinda Yulianti,PUBLIC POLICY,I,8,6,5,19
TES-AKD-2026-03863,embuhprada736@outlook.com,Embuh Pradana,DATA SCIENCE,I,6,6,9,21
TES-AKD-2026-03864,adikapange520@gmail.com,Adika Pangestu,MANAJEMEN RISIKO,II,4,8,5,17
TES-AKD-2026-03865,hairyantow526@yahoo.com,Hairyanto Waluyo,ADMINISTRASI,II,5,6,6,17
TES-AKD-2026-03866,kasiyahnam557@gmail.com,Kasiyah Namaga,PSIKOLOGI,II,7,8,7,22
TES-AKD-2026-03867,ratnasafit341@outlook.com,Ratna Safitri,TEKNIK INDUSTRI,I,4,9,8,21
TES-AKD-2026-03868,bambangfir365@yahoo.com,Bambang Firmansyah,DATA SCIENCE,I,6,6,9,21
TES-AKD-2026-03869,darmantofi163@pln.co.id,Darmanto Firmansyah,HUKUM,III,8,7,6,21
TES-AKD-2026-03870,gaduhutama635@pln.co.id,Gaduh Utama,SUPPLY CHAIN MANAGEMENT,I,5,8,9,22
TES-AKD-2026-03871,satyaprasa47@gmail.com,Satya Prasasta,ADMINISTRASI BISNIS,II,7,6,6,19
TES-AKD-2026-03872,jaimansapt63@outlook.com,Jaiman Saptono,TEKNIK KIMIA,I,9,8,7,24
TES-AKD-2026-03873,dasahidaya117@outlook.com,Dasa Hidayat,DATA SCIENCE,I,4,5,10,19
TES-AKD-2026-03874,sakurawast299@outlook.com,Sakura Wastuti,DATA SCIENCE,II,7,5,8,20
TES-AKD-2026-03875,malikahand119@outlook.com,Malika Handayani,ENERGI BARU TERBARUKAN,II,6,6,7,19
TES-AKD-2026-03876,najamsetia980@outlook.com,Najam Setiawan,ADMINISTRASI BISNIS,II,6,8,5,19
TES-AKD-2026-03877,belindapur954@yahoo.com,Belinda Purnawati,TEKNIK LISTRIK,I,8,10,6,24
TES-AKD-2026-03878,cahyawibis715@outlook.com,Cahya Wibisono,TEKNIK BIOENERGI,II,6,4,7,17
TES-AKD-2026-03879,jamilsitum511@gmail.com,Jamil Situmorang,TEKNIK ELEKTRO,I,9,10,7,26
TES-AKD-2026-03880,rikasafitr838@gmail.com,Rika Safitri,MANAJEMEN PROYEK,I,5,7,4,16
TES-AKD-2026-03881,taswirnapi850@pln.co.id,Taswir Napitupulu,ADMINISTRASI BISNIS,I,6,10,6,22
TES-AKD-2026-03882,wulanrahay37@pln.co.id,Wulan Rahayu,BIG DATA DAN BUSINESS INTELLIGENCE,II,5,6,10,21
TES-AKD-2026-03883,muniutama850@yahoo.com,Muni Utama,TEKNIK PERTAMBANGAN,I,8,8,9,25
TES-AKD-2026-03884,lililailas538@yahoo.com,Lili Lailasari,PSIKOLOGI,II,7,9,6,22
TES-AKD-2026-03885,alikautami14@yahoo.com,Alika Utami,ADMINISTRASI BISNIS,I,5,5,8,18
TES-AKD-2026-03886,imambudiya609@gmail.com,Imam Budiyanto,TEKNIK INFORMATIKA,I,8,9,6,23
TES-AKD-2026-03887,inapuspasa897@yahoo.com,Ina Puspasari,MANAJEMEN KEUANGAN,I,5,6,8,19
TES-AKD-2026-03888,padmiwinar424@outlook.com,Padmi Winarsih,DATA SCIENCE,I,7,5,9,21
TES-AKD-2026-03889,sabrinapud212@outlook.com,Sabrina Pudjiastuti,AKUNTANSI,I,5,5,5,15
TES-AKD-2026-03890,keziayolan551@pln.co.id,Kezia Yolanda,TEKNIK GEOLOGI,I,7,4,5,16
TES-AKD-2026-03891,tiarawastu425@gmail.com,Tiara Wastuti,ENERGI BARU TERBARUKAN,I,6,5,4,15
TES-AKD-2026-03892,cemetinajm477@outlook.com,Cemeti Najmudin,TEKNIK ELEKTRO,I,9,7,6,22
TES-AKD-2026-03893,purwantopa877@pln.co.id,Purwanto Pangestu,TEKNIK LINGKUNGAN,II,6,4,6,16
TES-AKD-2026-03894,ikinnapitu41@pln.co.id,Ikin Napitupulu,ADMINISTRASI BISNIS,II,6,6,8,20
TES-AKD-2026-03895,jindrasiho294@gmail.com,Jindra Sihotang,SAFETY ENGINEERING,III,5,6,4,15
TES-AKD-2026-03896,jindrasala913@pln.co.id,Jindra Salahudin,TEKNIK GEODESI,I,10,7,9,26
TES-AKD-2026-03897,kamariahas480@pln.co.id,Kamaria Hastuti,TEKNIK GEODESI,I,8,7,7,22
TES-AKD-2026-03898,tiarapudji435@yahoo.com,Tiara Pudjiastuti,TEKNIK GEODESI,III,8,6,10,24
TES-AKD-2026-03899,opungmarpa93@gmail.com,Opung Marpaung,MANAJEMEN RISIKO,I,7,8,7,22
TES-AKD-2026-03900,gangsaguna396@yahoo.com,Gangsa Gunawan,BIG DATA DAN BUSINESS INTELLIGENCE,II,8,7,7,22
TES-AKD-2026-03901,ichawuland874@outlook.com,Icha Wulandari,PUBLIC POLICY,III,6,7,5,18
TES-AKD-2026-03902,darmantouw554@yahoo.com,Darmanto Uwais,MANAJEMEN BISNIS,I,3,9,8,20
TES-AKD-2026-03903,lutfanmang395@yahoo.com,Lutfan Mangunsong,TEKNIK MESIN,II,4,10,6,20
TES-AKD-2026-03904,martakasim973@yahoo.com,Martaka Simanjuntak,ADMINISTRASI BISNIS,I,7,7,4,18
TES-AKD-2026-03905,sarahpudji333@yahoo.com,Sarah Pudjiastuti,TEKNIK INFORMATIKA,II,5,4,6,15
TES-AKD-2026-03906,dinalailas99@pln.co.id,Dina Lailasari,DIGITAL MARKETING DAN ANALYTICS,II,6,6,7,19
TES-AKD-2026-03907,cahyonabab939@yahoo.com,Cahyo Nababan,DATA SCIENCE,I,5,9,8,22
TES-AKD-2026-03908,drajathabi891@outlook.com,Drajat Habibi,TEKNIK MESIN,II,7,5,10,22
TES-AKD-2026-03909,rininasyia941@gmail.com,Rini Nasyiah,PROGRAM STUDI LAINNYA TEKNIK,I,9,7,10,26
TES-AKD-2026-03910,sabrinapur802@yahoo.com,Sabrina Purwanti,MANAJEMEN KEUANGAN,I,10,8,6,24
TES-AKD-2026-03911,yunitazula400@yahoo.com,Yunita Zulaika,MANAJEMEN BISNIS,I,7,7,5,19
TES-AKD-2026-03912,novariyant521@gmail.com,Nova Riyanti,TEKNIK MESIN,II,5,9,10,24
TES-AKD-2026-03913,yessimelan119@yahoo.com,Yessi Melani,TEKNIK LISTRIK,II,6,10,8,24
TES-AKD-2026-03914,legawaangg338@pln.co.id,Legawa Anggriawan,TEKNIK ELEKTRO,I,10,6,8,24
TES-AKD-2026-03915,clarawinar552@yahoo.com,Clara Winarsih,BIG DATA DAN BUSINESS INTELLIGENCE,I,7,5,7,19
TES-AKD-2026-03916,hildahanda159@yahoo.com,Hilda Handayani,TEKNIK BIOENERGI,II,8,10,5,23
TES-AKD-2026-03917,rafidpraka238@gmail.com,Rafid Prakasa,ENERGI BARU TERBARUKAN,I,4,8,6,18
TES-AKD-2026-03918,anomsitomp789@gmail.com,Anom Sitompul,MANAJEMEN BISNIS,I,5,9,5,19
TES-AKD-2026-03919,kardiprasa163@pln.co.id,Kardi Prasasta,MANAJEMEN KEUANGAN,I,6,6,5,17
TES-AKD-2026-03920,shaniapala606@outlook.com,Shania Palastri,TEKNIK ELEKTRO,I,7,8,5,20
TES-AKD-2026-03921,najamwibow263@outlook.com,Najam Wibowo,KONVERSI ENERGI,I,8,8,9,25
TES-AKD-2026-03922,almirasury874@pln.co.id,Almira Suryatmi,MANAJEMEN INVESTASI BANK,I,3,9,4,16
TES-AKD-2026-03923,taufikpran732@pln.co.id,Taufik Pranowo,TEKNIK GEOLOGI,I,9,4,7,20
TES-AKD-2026-03924,karjalazua628@pln.co.id,Karja Lazuardi,MANAJEMEN,I,6,8,6,20
TES-AKD-2026-03925,kiandramel240@outlook.com,Kiandra Melani,AKUNTANSI,II,7,8,8,23
TES-AKD-2026-03926,tasnimnarp477@outlook.com,Tasnim Narpati,HUKUM,II,7,6,9,22
TES-AKD-2026-03927,limarsuryo29@pln.co.id,Limar Suryono,BIG DATA DAN BUSINESS INTELLIGENCE,I,9,6,9,24
TES-AKD-2026-03928,farahrahim706@gmail.com,Farah Rahimah,TEKNIK INFORMATIKA,III,5,7,6,18
TES-AKD-2026-03929,shakilapur679@outlook.com,Shakila Purwanti,DATA SCIENCE,I,8,6,9,23
TES-AKD-2026-03930,anaaryani689@outlook.com,Ana Aryani,MANAJEMEN RISIKO,I,8,8,5,21
TES-AKD-2026-03931,yahyafirma904@gmail.com,Yahya Firmansyah,KONVERSI ENERGI,II,6,7,8,21
TES-AKD-2026-03932,cakrawalah434@gmail.com,Cakrawala Hidayanto,TEKNIK SIPIL,II,6,5,6,17
TES-AKD-2026-03933,novipuspit118@yahoo.com,Novi Puspita,TEKNIK LISTRIK,II,7,7,8,22
TES-AKD-2026-03934,darsirahgu515@yahoo.com,Darsirah Gunarto,TEKNIK BIOENERGI,I,8,7,8,23
TES-AKD-2026-03935,rahmirahim752@yahoo.com,Rahmi Rahimah,HUKUM,I,9,7,2,18
TES-AKD-2026-03936,widyalaila175@pln.co.id,Widya Lailasari,TEKNIK BIOENERGI,I,9,6,8,23
TES-AKD-2026-03937,sitisudiat391@yahoo.com,Siti Sudiati,TEKNIK LINGKUNGAN,I,8,5,10,23
TES-AKD-2026-03938,putrihassa384@yahoo.com,Putri Hassanah,KEUANGAN,II,5,6,7,18
TES-AKD-2026-03939,cakrabiraw653@yahoo.com,Cakrabirawa Maulana,SUPPLY CHAIN MANAGEMENT,I,6,4,5,15
TES-AKD-2026-03940,zalindrala248@pln.co.id,Zalindra Laksita,KONVERSI ENERGI,I,8,6,6,20
TES-AKD-2026-03941,jindrasara857@yahoo.com,Jindra Saragih,MANAJEMEN KEUANGAN,II,6,6,8,20
TES-AKD-2026-03942,taniakusma126@outlook.com,Tania Kusmawati,TEKNIK MATERIAL,I,5,7,7,19
TES-AKD-2026-03943,ameliausam467@gmail.com,Amelia Usamah,MANAJEMEN PEMASARAN,II,5,9,8,22
TES-AKD-2026-03944,raisafujia354@gmail.com,Raisa Fujiati,KOMUNIKASI,II,4,8,4,16
TES-AKD-2026-03945,kandamangu473@outlook.com,Kanda Mangunsong,MANAJEMEN KEUANGAN,I,6,7,6,19
TES-AKD-2026-03946,calistapus75@yahoo.com,Calista Puspita,MANAJEMEN,II,8,8,6,22
TES-AKD-2026-03947,eliyolanda473@pln.co.id,Eli Yolanda,MANAJEMEN BISNIS,I,6,6,9,21
TES-AKD-2026-03948,mahdilatup296@outlook.com,Mahdi Latupono,SAFETY ENGINEERING,II,6,4,8,18
TES-AKD-2026-03949,baktionoma967@gmail.com,Baktiono Mandala,SUPPLY CHAIN MANAGEMENT,II,8,7,7,22
TES-AKD-2026-03950,jagapatiwi563@gmail.com,Jagapati Widodo,TEKNIK PERTAMBANGAN,II,7,5,7,19
TES-AKD-2026-03951,warsitasih360@pln.co.id,Warsita Sihombing,MANAJEMEN BISNIS,I,7,8,7,22
TES-AKD-2026-03952,laswimanda143@yahoo.com,Laswi Mandala,PUBLIC POLICY,I,5,6,6,17
TES-AKD-2026-03953,akarsanama44@pln.co.id,Akarsana Maheswara,TEKNIK LISTRIK,I,6,7,9,22
TES-AKD-2026-03954,garahalim308@pln.co.id,Gara Halim,TEKNIK ELEKTRO,II,10,5,8,23
TES-AKD-2026-03955,hartobudiy149@gmail.com,Harto Budiyanto,KEUANGAN,II,5,6,8,19
TES-AKD-2026-03956,cakrawalaz446@gmail.com,Cakrawala Zulkarnain,DIGITAL MARKETING DAN ANALYTICS,I,5,4,4,13
TES-AKD-2026-03957,ilsazulaik155@pln.co.id,Ilsa Zulaika,MATEMATIKA,I,6,9,6,21
TES-AKD-2026-03958,ulyapurnaw55@pln.co.id,Ulya Purnawati,SUPPLY CHAIN MANAGEMENT,II,6,7,6,19
TES-AKD-2026-03959,endradongo391@pln.co.id,Endra Dongoran,ADMINISTRASI,III,6,7,1,14
TES-AKD-2026-03960,ginapuspit237@outlook.com,Gina Puspita,MANAJEMEN PEMASARAN,I,6,7,5,18
TES-AKD-2026-03961,lalayuliar799@gmail.com,Lala Yuliarti,DIGITAL MARKETING DAN ANALYTICS,II,3,7,5,15
TES-AKD-2026-03962,teguhtarih991@gmail.com,Teguh Tarihoran,MANAJEMEN PROYEK,I,7,7,4,18
TES-AKD-2026-03963,rachelhali234@outlook.com,Rachel Halimah,MANAJEMEN PEMASARAN,I,8,6,5,19
TES-AKD-2026-03964,cahyaardia874@yahoo.com,Cahya Ardianto,KOMUNIKASI,I,5,7,6,18
TES-AKD-2026-03965,purwawibis947@yahoo.com,Purwa Wibisono,ELEKTRONIKA DAN INSTRUMENTASI,I,3,7,7,17
TES-AKD-2026-03966,entengmans734@outlook.com,Enteng Mansur,TEKNIK LINGKUNGAN,I,3,6,6,15
TES-AKD-2026-03967,hanisuarti356@outlook.com,Hani Suartini,TEKNIK INFORMATIKA,III,8,6,8,22
TES-AKD-2026-03968,yanisuarti802@gmail.com,Yani Suartini,TEKNIK KIMIA,I,7,3,9,19
TES-AKD-2026-03969,eriksihomb229@yahoo.com,Erik Sihombing,HUKUM,II,8,8,4,20
TES-AKD-2026-03970,eriksitumo758@gmail.com,Erik Situmorang,TEKNIK LINGKUNGAN,II,10,5,9,24
TES-AKD-2026-03971,mahesasuwa474@yahoo.com,Mahesa Suwarno,PSIKOLOGI,I,7,6,9,22
TES-AKD-2026-03972,tarizulaik732@yahoo.com,Tari Zulaika,MANAJEMEN,I,5,7,4,16
TES-AKD-2026-03973,kawacarama33@outlook.com,Kawaca Ramadan,TEKNIK ELEKTRO,I,9,9,8,26
TES-AKD-2026-03974,ekameganta175@yahoo.com,Eka Megantara,KONVERSI ENERGI,I,5,6,3,14
TES-AKD-2026-03975,jokothamri298@pln.co.id,Joko Thamrin,MANAJEMEN,I,8,7,7,22
TES-AKD-2026-03976,zaenabastu200@pln.co.id,Zaenab Astuti,TEKNIK PERTAMBANGAN,I,10,6,6,22
TES-AKD-2026-03977,restupuspi584@outlook.com,Restu Puspita,SAFETY ENGINEERING,III,8,9,7,24
TES-AKD-2026-03978,cemetiprad402@outlook.com,Cemeti Pradana,DATA SCIENCE,II,9,5,10,24
TES-AKD-2026-03979,calistafar821@gmail.com,Calista Farida,MANAJEMEN PEMASARAN,I,4,5,9,18
TES-AKD-2026-03980,oliviayuli357@yahoo.com,Olivia Yuliarti,KESELAMATAN DAN KESEHATAN KERJA,I,5,6,7,18
TES-AKD-2026-03981,yahyahakim701@yahoo.com,Yahya Hakim,TEKNIK KIMIA,I,4,4,10,18
TES-AKD-2026-03982,dodositomp343@pln.co.id,Dodo Sitompul,TEKNIK LINGKUNGAN,I,7,7,5,19
TES-AKD-2026-03983,ivansimbol643@outlook.com,Ivan Simbolon,MANAJEMEN,I,4,8,5,17
TES-AKD-2026-03984,ejakurniaw856@pln.co.id,Eja Kurniawan,TEKNIK INFORMATIKA,I,5,3,6,14
TES-AKD-2026-03985,ulyamandas491@gmail.com,Ulya Mandasari,MANAJEMEN PEMASARAN,I,6,9,7,22
TES-AKD-2026-03986,baktiadipr882@outlook.com,Baktiadi Prasetyo,DATA SCIENCE,I,6,6,6,18
TES-AKD-2026-03987,queenyulia647@yahoo.com,Queen Yulianti,MANAJEMEN ASET,I,6,7,5,18
TES-AKD-2026-03988,hartanajan885@outlook.com,Hartana Januar,PROGRAM STUDI LAINNYA NON TEKNIK,I,7,6,10,23
TES-AKD-2026-03989,oniandrian799@yahoo.com,Oni Andriani,TEKNIK SIPIL,I,6,7,10,23
TES-AKD-2026-03990,anitaperma708@yahoo.com,Anita Permata,PUBLIC POLICY,I,6,3,8,17
TES-AKD-2026-03991,kambaliraj173@pln.co.id,Kambali Rajata,HUKUM,I,5,10,6,21
TES-AKD-2026-03992,ajiminhard290@yahoo.com,Ajimin Hardiansyah,ADMINISTRASI BISNIS,II,6,6,6,18
TES-AKD-2026-03993,argonohuta243@outlook.com,Argono Hutapea,TEKNIK ELEKTRO,I,8,8,7,23
TES-AKD-2026-03994,ellanurain259@gmail.com,Ella Nuraini,MANAJEMEN,II,7,8,9,24
TES-AKD-2026-03995,purwawahyu888@outlook.com,Purwa Wahyudin,BIG DATA DAN BUSINESS INTELLIGENCE,I,5,9,7,21
TES-AKD-2026-03996,samsulguna338@pln.co.id,Samsul Gunawan,KESELAMATAN DAN KESEHATAN KERJA,II,8,4,6,18
TES-AKD-2026-03997,gambiratha866@gmail.com,Gambira Thamrin,MANAJEMEN PROYEK,I,6,8,1,15
TES-AKD-2026-03998,dalionomar985@outlook.com,Daliono Maryadi,TEKNIK MESIN,I,9,6,5,20
TES-AKD-2026-03999,lintangyun796@outlook.com,Lintang Yuniar,TEKNIK GEOLOGI,I,7,8,9,24
TES-AKD-2026-04000,keziarahma467@yahoo.com,Kezia Rahmawati,DATA SCIENCE,I,10,4,9,23
TES-AKD-2026-04001,paramitauy634@yahoo.com,Paramita Uyainah,TEKNIK BIOENERGI,I,6,4,7,17
TES-AKD-2026-04002,cakrajiyaw612@pln.co.id,Cakrajiya Wahyudin,TEKNIK MESIN,II,4,6,8,18
TES-AKD-2026-04003,bakiadipra156@outlook.com,Bakiadi Pradana,HUKUM,I,8,8,6,22
TES-AKD-2026-04004,hamzahhabi671@yahoo.com,Hamzah Habibi,PSIKOLOGI,I,9,7,8,24
TES-AKD-2026-04005,elmaagusti764@outlook.com,Elma Agustina,PUBLIC POLICY,I,5,5,2,12
TES-AKD-2026-04006,lintangpra277@yahoo.com,Lintang Pratiwi,TEKNIK GEODESI,I,8,7,6,21
TES-AKD-2026-04007,cahyamangu603@yahoo.com,Cahya Mangunsong,MATEMATIKA,II,8,6,5,19
TES-AKD-2026-04008,kemalwasit666@gmail.com,Kemal Wasita,TEKNIK INDUSTRI,II,6,7,10,23
TES-AKD-2026-04009,lurhurdama926@gmail.com,Lurhur Damanik,DIGITAL MARKETING DAN ANALYTICS,I,5,5,7,17
TES-AKD-2026-04010,fitrianipu621@pln.co.id,Fitriani Puspita,MANAJEMEN BISNIS,I,8,10,8,26
TES-AKD-2026-04011,dinamandas25@gmail.com,Dina Mandasari,MATEMATIKA,I,9,5,7,21
TES-AKD-2026-04012,padmawahyu391@yahoo.com,Padma Wahyuni,MANAJEMEN PROYEK,I,6,7,8,21
TES-AKD-2026-04013,michellela197@gmail.com,Michelle Laksita,SUPPLY CHAIN MANAGEMENT,I,6,6,5,17
TES-AKD-2026-04014,rosmanwask141@gmail.com,Rosman Waskita,TEKNIK INFORMATIKA,II,9,6,7,22
TES-AKD-2026-04015,usyiastuti408@pln.co.id,Usyi Astuti,MANAJEMEN INVESTASI BANK,II,6,8,5,19
TES-AKD-2026-04016,adikarapan589@gmail.com,Adikara Pangestu,TEKNIK MESIN,I,6,3,7,16
TES-AKD-2026-04017,radenjanua883@outlook.com,Raden Januar,TEKNIK INFORMATIKA,I,6,7,6,19
TES-AKD-2026-04018,hardiprada269@yahoo.com,Hardi Pradana,MANAJEMEN ASET,I,6,10,7,23
TES-AKD-2026-04019,syahriniuy353@outlook.com,Syahrini Uyainah,TEKNIK MESIN,II,7,5,9,21
TES-AKD-2026-04020,mustofaput877@yahoo.com,Mustofa Putra,MANAJEMEN,II,3,8,7,18
TES-AKD-2026-04021,elisahassa66@gmail.com,Elisa Hassanah,MANAJEMEN INVESTASI BANK,I,6,8,5,19
TES-AKD-2026-04022,cecepbudim48@yahoo.com,Cecep Budiman,MANAJEMEN BISNIS,II,6,10,6,22
TES-AKD-2026-04023,dinasusant163@gmail.com,Dina Susanti,AKUNTANSI,I,9,5,6,20
TES-AKD-2026-04024,samsultari143@pln.co.id,Samsul Tarihoran,KOMUNIKASI,I,3,6,8,17
TES-AKD-2026-04025,nilammardh82@yahoo.com,Nilam Mardhiyah,PROGRAM STUDI LAINNYA NON TEKNIK,I,5,6,7,18
TES-AKD-2026-04026,tiarawinar417@outlook.com,Tiara Winarsih,TEKNIK GEOLOGI,I,6,7,6,19
TES-AKD-2026-04027,danangmarb698@outlook.com,Danang Marbun,DATA SCIENCE,III,9,7,5,21
TES-AKD-2026-04028,hamimausad609@outlook.com,Hamima Usada,MANAJEMEN,II,5,7,8,20
TES-AKD-2026-04029,harsantora730@outlook.com,Harsanto Rajasa,ADMINISTRASI BISNIS,I,6,7,8,21
TES-AKD-2026-04030,virmanmarb965@pln.co.id,Virman Marbun,PSIKOLOGI,I,6,4,4,14
TES-AKD-2026-04031,mulyonojan453@gmail.com,Mulyono Januar,TEKNIK KIMIA,I,9,7,8,24
TES-AKD-2026-04032,sakasaputr513@yahoo.com,Saka Saputra,MANAJEMEN PEMASARAN,I,7,8,6,21
TES-AKD-2026-04033,asirwandaw485@gmail.com,Asirwanda Wacana,TEKNIK MESIN,I,8,8,7,23
TES-AKD-2026-04034,unjaniusam400@yahoo.com,Unjani Usamah,KONVERSI ENERGI,I,4,3,6,13
TES-AKD-2026-04035,wardiperma517@pln.co.id,Wardi Permadi,ELEKTRONIKA DAN INSTRUMENTASI,I,7,7,4,18
TES-AKD-2026-04036,vanesapert816@pln.co.id,Vanesa Pertiwi,HUKUM,I,6,7,6,19
TES-AKD-2026-04037,nadiasurya613@pln.co.id,Nadia Suryatmi,TEKNIK SIPIL,I,3,5,8,16
TES-AKD-2026-04038,michelleha269@gmail.com,Michelle Hasanah,KONVERSI ENERGI,I,8,6,8,22
TES-AKD-2026-04039,ulyanamaga124@yahoo.com,Ulya Namaga,AKUNTANSI,II,5,7,5,17
TES-AKD-2026-04040,kiandralak640@yahoo.com,Kiandra Laksmiwati,AKUNTANSI,I,6,6,4,16
TES-AKD-2026-04041,lantarsiho991@outlook.com,Lantar Sihombing,TEKNIK KIMIA,II,10,4,7,21
TES-AKD-2026-04042,suciriyant860@yahoo.com,Suci Riyanti,ENERGI BARU TERBARUKAN,I,6,5,4,15
TES-AKD-2026-04043,elmahalima150@pln.co.id,Elma Halimah,SUPPLY CHAIN MANAGEMENT,I,2,4,7,13
TES-AKD-2026-04044,maidasuart896@gmail.com,Maida Suartini,MANAJEMEN,I,6,6,7,19
TES-AKD-2026-04045,limansiman339@yahoo.com,Liman Simanjuntak,TEKNIK GEODESI,I,8,6,8,22
TES-AKD-2026-04046,caturnajmu797@pln.co.id,Catur Najmudin,ELEKTRONIKA DAN INSTRUMENTASI,I,6,2,7,15
TES-AKD-2026-04047,claranasyi426@gmail.com,Clara Nasyidah,TEKNIK INDUSTRI,II,9,6,10,25
