NO TES,EMAIL,NAMA,PRODI,Ak Jawaban Benar,Ak Jawaban Salah,Ak Jawaban Kosong,Ak Skor,En Jawaban Benar,En Jawaban Salah,En Jawaban Kosong,En Skor,TOTAL SKOR AKDING
TES-AKD-2026-04582,belindahar903@yahoo.com,Belinda Hartati,TEKNIK LINGKUNGAN,40,6,4,154,24,22,4,74,228
TES-AKD-2026-04583,taufiksire248@pln.co.id,Taufik Siregar,TEKNIK ELEKTRO,25,20,5,80,33,17,0,115,195
TES-AKD-2026-04584,yunisuarti284@gmail.com,Yuni Suartini,SAFETY ENGINEERING,44,2,4,174,30,19,1,101,275
TES-AKD-2026-04585,vickyhasan756@pln.co.id,Vicky Hasanah,ADMINISTRASI BISNIS,19,31,0,45,23,24,3,68,113
TES-AKD-2026-04586,darmannajm79@outlook.com,Darman Najmudin,MANAJEMEN,29,17,4,99,27,23,0,85,184
TES-AKD-2026-04587,gandasireg966@pln.co.id,Ganda Siregar,KESELAMATAN DAN KESEHATAN KERJA,41,5,4,159,27,21,2,87,246
TES-AKD-2026-04588,darijanper384@pln.co.id,Darijan Permadi,TEKNIK MATERIAL,31,19,0,105,40,8,2,152,257
TES-AKD-2026-04589,keishaangg637@gmail.com,Keisha Anggraini,TEKNIK PERTAMBANGAN,43,7,0,165,31,16,3,108,273
TES-AKD-2026-04590,ratnapadma863@yahoo.com,Ratna Padmasari,TEKNIK MESIN,40,8,2,152,27,20,3,88,240
TES-AKD-2026-04591,onihandaya605@outlook.com,Oni Handayani,PSIKOLOGI,31,15,4,109,27,23,0,85,194
TES-AKD-2026-04592,martakahut495@gmail.com,Martaka Hutapea,TEKNIK ELEKTRO,41,4,5,160,23,26,1,66,226
TES-AKD-2026-04593,nabilaokta909@outlook.com,Nabila Oktaviani,KOMUNIKASI,36,11,3,133,46,0,4,184,317
TES-AKD-2026-04594,mariadipra914@outlook.com,Mariadi Prayoga,TEKNIK GEOLOGI,31,16,3,108,18,28,4,44,152
TES-AKD-2026-04595,azaleasusa274@outlook.com,Azalea Susanti,MATEMATIKA,24,25,1,71,39,8,3,148,219
TES-AKD-2026-04596,balahutaso725@pln.co.id,Bala Hutasoit,TEKNIK INDUSTRI,28,18,4,94,25,22,3,78,172
TES-AKD-2026-04597,nasrullahn88@outlook.com,Nasrullah Nababan,SAFETY ENGINEERING,34,11,5,125,36,13,1,131,256
TES-AKD-2026-04598,irianayuli612@pln.co.id,Iriana Yulianti,DIGITAL MARKETING DAN ANALYTICS,24,26,0,70,39,7,4,149,219
TES-AKD-2026-04599,puputhanda387@pln.co.id,Puput Handayani,TEKNIK ELEKTRO,25,24,1,76,35,11,4,129,205
TES-AKD-2026-04600,karimahriy523@gmail.com,Karimah Riyanti,TEKNIK ELEKTRO,23,27,0,65,31,16,3,108,173
TES-AKD-2026-04601,danujapang559@pln.co.id,Danuja Pangestu,MANAJEMEN,33,14,3,118,33,14,3,118,236
TES-AKD-2026-04602,mujurmaula925@pln.co.id,Mujur Maulana,TEKNIK BIOENERGI,32,13,5,115,26,22,2,82,197
TES-AKD-2026-04603,harjayasih612@gmail.com,Harjaya Sihombing,TEKNIK GEODESI,39,10,1,146,33,13,4,119,265
TES-AKD-2026-04604,nrimagunaw924@pln.co.id,Nrima Gunawan,MANAJEMEN,22,24,4,64,21,27,2,57,121
TES-AKD-2026-04605,galihwasit629@gmail.com,Galih Wasita,HUKUM,23,27,0,65,21,29,0,55,120
TES-AKD-2026-04606,paimansimb884@outlook.com,Paiman Simbolon,TEKNIK SIPIL,30,18,2,102,44,6,0,170,272
TES-AKD-2026-04607,hartowibis685@outlook.com,Harto Wibisono,ELEKTRONIKA DAN INSTRUMENTASI,36,11,3,133,27,18,5,90,223
TES-AKD-2026-04608,harisihomb888@yahoo.com,Hari Sihombing,TEKNIK SIPIL,44,6,0,170,33,16,1,116,286
TES-AKD-2026-04609,gamblangku448@pln.co.id,Gamblang Kusumo,TEKNIK ELEKTRO,50,0,0,200,32,16,2,112,312
TES-AKD-2026-04610,prayogaman247@yahoo.com,Prayoga Mandala,TEKNIK SIPIL,37,9,4,139,36,13,1,131,270
TES-AKD-2026-04611,raditharya704@yahoo.com,Radit Haryanto,TEKNIK MESIN,27,20,3,88,22,28,0,60,148
TES-AKD-2026-04612,dewiwahyun895@gmail.com,Dewi Wahyuni,TEKNIK INFORMATIKA,42,8,0,160,36,10,4,134,294
TES-AKD-2026-04613,wanikuswan191@gmail.com,Wani Kuswandari,SUPPLY CHAIN MANAGEMENT,23,26,1,66,29,17,4,99,165
TES-AKD-2026-04614,najwalesta248@yahoo.com,Najwa Lestari,PROGRAM STUDI LAINNYA NON TEKNIK,41,4,5,160,38,11,1,141,301
TES-AKD-2026-04615,damarsiman263@yahoo.com,Damar Simanjuntak,TEKNIK ELEKTRO,47,3,0,185,42,4,4,164,349
TES-AKD-2026-04616,mulyantogu135@outlook.com,Mulyanto Gunawan,KOMUNIKASI,26,19,5,85,34,16,0,120,205
TES-AKD-2026-04617,evaaryani239@pln.co.id,Eva Aryani,MANAJEMEN ASET,22,28,0,60,41,6,3,158,218
TES-AKD-2026-04618,nalarnaing239@gmail.com,Nalar Nainggolan,AKUNTANSI,29,16,5,100,31,19,0,105,205
TES-AKD-2026-04619,hasnarahim606@pln.co.id,Hasna Rahimah,TEKNIK SIPIL,38,12,0,140,31,16,3,108,248
TES-AKD-2026-04620,endahfarid340@outlook.com,Endah Farida,AKUNTANSI,22,23,5,65,37,10,3,138,203
TES-AKD-2026-04621,hardirajas99@pln.co.id,Hardi Rajasa,MANAJEMEN PROYEK,36,11,3,133,36,12,2,132,265
TES-AKD-2026-04622,dinanasyia706@yahoo.com,Dina Nasyiah,MANAJEMEN KEUANGAN,27,21,2,87,38,11,1,141,228
TES-AKD-2026-04623,caketnarpa522@yahoo.com,Caket Narpati,ADMINISTRASI BISNIS,18,29,3,43,31,14,5,110,153
TES-AKD-2026-04624,puspafarid975@outlook.com,Puspa Farida,AKUNTANSI,33,17,0,115,42,8,0,160,275
TES-AKD-2026-04625,ichalestar820@yahoo.com,Icha Lestari,TEKNIK BIOENERGI,39,7,4,149,41,4,5,160,309
TES-AKD-2026-04626,latifjaila38@pln.co.id,Latif Jailani,MANAJEMEN PROYEK,36,9,5,135,18,27,5,45,180
TES-AKD-2026-04627,olgasihota963@pln.co.id,Olga Sihotang,PROGRAM STUDI LAINNYA NON TEKNIK,29,21,0,95,35,15,0,125,220
TES-AKD-2026-04628,rikalaksmi432@gmail.com,Rika Laksmiwati,AKUNTANSI,30,15,5,105,38,7,5,145,250
TES-AKD-2026-04629,jokohutaga618@yahoo.com,Joko Hutagalung,MANAJEMEN PEMASARAN,21,29,0,55,41,9,0,155,210
TES-AKD-2026-04630,humairaokt751@outlook.com,Humaira Oktaviani,DATA SCIENCE,35,11,4,129,39,10,1,146,275
TES-AKD-2026-04631,banawisito239@pln.co.id,Banawi Sitompul,MANAJEMEN,31,14,5,110,33,17,0,115,225
TES-AKD-2026-04632,emongnarpa376@gmail.com,Emong Narpati,TEKNIK MESIN,37,13,0,135,32,13,5,115,250
TES-AKD-2026-04633,tamiastuti22@pln.co.id,Tami Astuti,HUKUM,43,2,5,170,39,10,1,146,316
TES-AKD-2026-04634,rachelmela128@pln.co.id,Rachel Melani,SAFETY ENGINEERING,42,3,5,165,34,12,4,124,289
TES-AKD-2026-04635,cahyadipra191@gmail.com,Cahyadi Prasasta,KONVERSI ENERGI,25,20,5,80,17,31,2,37,117
TES-AKD-2026-04636,violetutam575@yahoo.com,Violet Utami,TEKNIK SIPIL,34,16,0,120,18,28,4,44,164
TES-AKD-2026-04637,arsipatram431@yahoo.com,Arsipatra Maulana,TEKNIK KIMIA,45,4,1,176,42,6,2,162,338
TES-AKD-2026-04638,dariminwin954@gmail.com,Darimin Winarno,TEKNIK GEOLOGI,29,19,2,97,28,19,3,93,190
TES-AKD-2026-04639,almirapurn439@pln.co.id,Almira Purnawati,MANAJEMEN ASET,28,21,1,91,32,14,4,114,205
TES-AKD-2026-04640,citranurai752@pln.co.id,Citra Nuraini,MANAJEMEN RISIKO,29,18,3,98,30,15,5,105,203
TES-AKD-2026-04641,hanasusant418@pln.co.id,Hana Susanti,TEKNIK MESIN,27,23,0,85,17,30,3,38,123
TES-AKD-2026-04642,adinatahak321@yahoo.com,Adinata Hakim,MANAJEMEN,40,8,2,152,41,4,5,160,312
TES-AKD-2026-04643,ghanihutag410@yahoo.com,Ghani Hutagalung,ENERGI BARU TERBARUKAN,34,11,5,125,27,21,2,87,212
TES-AKD-2026-04644,bagasmusto754@gmail.com,Bagas Mustofa,MANAJEMEN BISNIS,30,17,3,103,36,13,1,131,234
TES-AKD-2026-04645,heryantosi656@outlook.com,Heryanto Simanjuntak,TEKNIK LINGKUNGAN,38,9,3,143,39,11,0,145,288
TES-AKD-2026-04646,egasitompu14@yahoo.com,Ega Sitompul,ADMINISTRASI BISNIS,39,7,4,149,35,12,3,128,277
TES-AKD-2026-04647,salimahsua778@yahoo.com,Salimah Suartini,MANAJEMEN BISNIS,29,21,0,95,36,14,0,130,225
TES-AKD-2026-04648,dinahassan849@pln.co.id,Dina Hassanah,TEKNIK INDUSTRI,29,19,2,97,24,24,2,72,169
TES-AKD-2026-04649,taufanhabi383@gmail.com,Taufan Habibi,ELEKTRONIKA DAN INSTRUMENTASI,15,35,0,25,22,23,5,65,90
TES-AKD-2026-04650,taufiknajm565@pln.co.id,Taufik Najmudin,ADMINISTRASI BISNIS,31,15,4,109,26,19,5,85,194
TES-AKD-2026-04651,putufirgan209@pln.co.id,Putu Firgantoro,MANAJEMEN RISIKO,23,24,3,68,33,14,3,118,186
TES-AKD-2026-04652,titinhanda185@pln.co.id,Titin Handayani,TEKNIK KIMIA,34,14,2,122,28,17,5,95,217
TES-AKD-2026-04653,prayogahid517@yahoo.com,Prayoga Hidayat,MANAJEMEN RISIKO,31,18,1,106,29,19,2,97,203
TES-AKD-2026-04654,ismailsiho134@yahoo.com,Ismail Sihombing,HUKUM,21,28,1,56,41,6,3,158,214
TES-AKD-2026-04655,hestipurna864@outlook.com,Hesti Purnawati,TEKNIK GEODESI,47,0,3,188,35,12,3,128,316
TES-AKD-2026-04656,ajimansire173@yahoo.com,Ajiman Siregar,MANAJEMEN PROYEK,27,19,4,89,31,16,3,108,197
TES-AKD-2026-04657,siskamayas221@yahoo.com,Siska Mayasari,DATA SCIENCE,32,17,1,111,27,18,5,90,201
TES-AKD-2026-04658,tirafarida755@pln.co.id,Tira Farida,TEKNIK SIPIL,27,19,4,89,30,20,0,100,189
TES-AKD-2026-04659,kaniagusti452@pln.co.id,Kani Agustina,SUPPLY CHAIN MANAGEMENT,33,14,3,118,45,4,1,176,294
TES-AKD-2026-04660,rahmiwahyu771@outlook.com,Rahmi Wahyuni,MANAJEMEN PROYEK,31,17,2,107,25,21,4,79,186
TES-AKD-2026-04661,tirtawasit506@gmail.com,Tirta Wasita,AKUNTANSI,35,13,2,127,31,17,2,107,234
TES-AKD-2026-04662,saadatwalu759@gmail.com,Saadat Waluyo,TEKNIK INFORMATIKA,39,11,0,145,30,19,1,101,246
TES-AKD-2026-04663,wanimardhi709@gmail.com,Wani Mardhiyah,TEKNIK LISTRIK,27,23,0,85,35,13,2,127,212
TES-AKD-2026-04664,taufikzulk286@gmail.com,Taufik Zulkarnain,TEKNIK ELEKTRO,28,17,5,95,34,13,3,123,218
TES-AKD-2026-04665,kamidinnat292@outlook.com,Kamidin Natsir,MANAJEMEN PROYEK,32,18,0,110,35,14,1,126,236
TES-AKD-2026-04666,jailjailan354@yahoo.com,Jail Jailani,MANAJEMEN PROYEK,26,24,0,80,31,18,1,106,186
TES-AKD-2026-04667,capawacana222@pln.co.id,Capa Wacana,TEKNIK INFORMATIKA,31,16,3,108,31,16,3,108,216
TES-AKD-2026-04668,kiandrawij364@pln.co.id,Kiandra Wijayanti,ELEKTRONIKA DAN INSTRUMENTASI,33,17,0,115,36,13,1,131,246
TES-AKD-2026-04669,prabawafir80@yahoo.com,Prabawa Firmansyah,AKUNTANSI,22,24,4,64,27,21,2,87,151
TES-AKD-2026-04670,tiramulyan599@gmail.com,Tira Mulyani,TEKNIK MESIN,44,3,3,173,31,19,0,105,278
TES-AKD-2026-04671,sabarjanua600@pln.co.id,Sabar Januar,TEKNIK SIPIL,30,16,4,104,26,21,3,83,187
TES-AKD-2026-04672,fathonahha624@pln.co.id,Fathonah Hastuti,KEUANGAN,18,30,2,42,22,25,3,63,105
TES-AKD-2026-04673,tirtayasaw246@gmail.com,Tirtayasa Waskita,SAFETY ENGINEERING,37,8,5,140,39,6,5,150,290
TES-AKD-2026-04674,julianovit300@outlook.com,Julia Novitasari,ENERGI BARU TERBARUKAN,22,26,2,62,28,18,4,94,156
TES-AKD-2026-04675,gangsaraja929@yahoo.com,Gangsa Rajasa,MANAJEMEN BISNIS,21,26,3,58,18,28,4,44,102
TES-AKD-2026-04676,hildawulan884@gmail.com,Hilda Wulandari,MANAJEMEN,24,22,4,74,20,27,3,53,127
TES-AKD-2026-04677,gambirasap179@pln.co.id,Gambira Saptono,TEKNIK KIMIA,35,10,5,130,23,26,1,66,196
TES-AKD-2026-04678,oktasitoru913@yahoo.com,Okta Sitorus,TEKNIK GEODESI,37,8,5,140,16,34,0,30,170
TES-AKD-2026-04679,lamarhabib793@outlook.com,Lamar Habibi,HUKUM,24,21,5,75,37,12,1,136,211
TES-AKD-2026-04680,solehlatup951@yahoo.com,Soleh Latupono,MANAJEMEN INVESTASI BANK,31,14,5,110,40,5,5,155,265
TES-AKD-2026-04681,paulinpert282@yahoo.com,Paulin Pertiwi,TEKNIK LISTRIK,41,4,5,160,22,28,0,60,220
TES-AKD-2026-04682,harjasadab360@gmail.com,Harjasa Dabukke,MANAJEMEN BISNIS,38,7,5,145,40,7,3,153,298
TES-AKD-2026-04683,wanipurnaw263@yahoo.com,Wani Purnawati,MANAJEMEN KEUANGAN,20,28,2,52,28,21,1,91,143
TES-AKD-2026-04684,kuntharaku809@pln.co.id,Kunthara Kurniawan,HUKUM,26,21,3,83,36,9,5,135,218
TES-AKD-2026-04685,irianayuni44@pln.co.id,Iriana Yuniar,SAFETY ENGINEERING,44,5,1,171,42,4,4,164,335
TES-AKD-2026-04686,kacungpras130@pln.co.id,Kacung Prasetya,TEKNIK BIOENERGI,45,2,3,178,25,22,3,78,256
TES-AKD-2026-04687,zaenabandr579@pln.co.id,Zaenab Andriani,PUBLIC POLICY,34,11,5,125,32,18,0,110,235
TES-AKD-2026-04688,hairyantos56@gmail.com,Hairyanto Saputra,MANAJEMEN,28,19,3,93,38,12,0,140,233
TES-AKD-2026-04689,melindaang977@gmail.com,Melinda Anggraini,MANAJEMEN RISIKO,34,15,1,121,33,15,2,117,238
TES-AKD-2026-04690,cakrawalas431@yahoo.com,Cakrawala Sitorus,MANAJEMEN PEMASARAN,32,17,1,111,32,13,5,115,226
TES-AKD-2026-04691,sakuraangg479@gmail.com,Sakura Anggraini,BIG DATA DAN BUSINESS INTELLIGENCE,24,25,1,71,34,13,3,123,194
TES-AKD-2026-04692,karmanbudi492@gmail.com,Karman Budiman,MANAJEMEN RISIKO,37,10,3,138,26,22,2,82,220
TES-AKD-2026-04693,vivihanday56@yahoo.com,Vivi Handayani,HUKUM,27,18,5,90,41,6,3,158,248
TES-AKD-2026-04694,cahyononaj987@outlook.com,Cahyono Najmudin,AKUNTANSI,31,15,4,109,22,24,4,64,173
TES-AKD-2026-04695,cagernajmu161@yahoo.com,Cager Najmudin,SAFETY ENGINEERING,28,21,1,91,31,18,1,106,197
TES-AKD-2026-04696,gangsawija364@pln.co.id,Gangsa Wijaya,KESELAMATAN DAN KESEHATAN KERJA,35,12,3,128,33,13,4,119,247
TES-AKD-2026-04697,pardihardi224@pln.co.id,Pardi Hardiansyah,TEKNIK KIMIA,37,12,1,136,27,20,3,88,224
TES-AKD-2026-04698,harimurtid862@gmail.com,Harimurti Dongoran,TEKNIK GEODESI,32,17,1,111,27,21,2,87,198
TES-AKD-2026-04699,intanwinar840@yahoo.com,Intan Winarsih,AKUNTANSI,32,18,0,110,31,16,3,108,218
TES-AKD-2026-04700,cahyadisuw770@yahoo.com,Cahyadi Suwarno,AKUNTANSI,21,29,0,55,36,10,4,134,189
TES-AKD-2026-04701,arsipatrar713@gmail.com,Arsipatra Rajata,DATA SCIENCE,34,12,4,124,37,13,0,135,259
TES-AKD-2026-04702,cindyprast291@outlook.com,Cindy Prastuti,TEKNIK LINGKUNGAN,36,12,2,132,34,12,4,124,256
TES-AKD-2026-04703,daryanimau319@pln.co.id,Daryani Maulana,SUPPLY CHAIN MANAGEMENT,41,5,4,159,29,21,0,95,254
TES-AKD-2026-04704,ikinardian148@pln.co.id,Ikin Ardianto,TEKNIK BIOENERGI,31,19,0,105,29,17,4,99,204
TES-AKD-2026-04705,kamilaperm396@gmail.com,Kamila Permata,SUPPLY CHAIN MANAGEMENT,37,12,1,136,8,38,4,-6,130
TES-AKD-2026-04706,fathonahpu106@gmail.com,Fathonah Puspita,ADMINISTRASI BISNIS,15,33,2,27,27,18,5,90,117
TES-AKD-2026-04707,makutasitu649@yahoo.com,Makuta Situmorang,ENERGI BARU TERBARUKAN,35,11,4,129,29,20,1,96,225
TES-AKD-2026-04708,auroralail656@yahoo.com,Aurora Lailasari,TEKNIK INFORMATIKA,46,0,4,184,35,15,0,125,309
TES-AKD-2026-04709,gadangnugr264@yahoo.com,Gadang Nugroho,SUPPLY CHAIN MANAGEMENT,39,6,5,150,26,24,0,80,230
TES-AKD-2026-04710,najibsalah528@outlook.com,Najib Salahudin,ADMINISTRASI BISNIS,25,22,3,78,44,6,0,170,248
TES-AKD-2026-04711,johanprasa463@pln.co.id,Johan Prasasta,TEKNIK ELEKTRO,40,8,2,152,43,3,4,169,321
TES-AKD-2026-04712,kenesanggr589@outlook.com,Kenes Anggriawan,DIGITAL MARKETING DAN ANALYTICS,22,28,0,60,28,20,2,92,152
TES-AKD-2026-04713,baktionosi991@gmail.com,Baktiono Siregar,TEKNIK GEOLOGI,33,17,0,115,35,14,1,126,241
TES-AKD-2026-04714,ranggaprak396@yahoo.com,Rangga Prakasa,TEKNIK INFORMATIKA,26,22,2,82,19,29,2,47,129
TES-AKD-2026-04715,juliarahma469@outlook.com,Julia Rahmawati,MANAJEMEN,30,15,5,105,38,8,4,144,249
TES-AKD-2026-04716,febihassan205@yahoo.com,Febi Hassanah,MANAJEMEN PEMASARAN,30,16,4,104,44,1,5,175,279
TES-AKD-2026-04717,siskaperma544@pln.co.id,Siska Permata,TEKNIK ELEKTRO,32,16,2,112,34,11,5,125,237
TES-AKD-2026-04718,kamilanura708@gmail.com,Kamila Nuraini,MANAJEMEN,38,8,4,144,39,10,1,146,290
TES-AKD-2026-04719,wahyuhutag648@pln.co.id,Wahyu Hutagalung,MANAJEMEN,31,14,5,110,29,18,3,98,208
TES-AKD-2026-04720,kartikahas15@gmail.com,Kartika Hassanah,TEKNIK GEOLOGI,33,13,4,119,45,5,0,175,294
TES-AKD-2026-04721,luhungutam251@outlook.com,Luhung Utama,MANAJEMEN BISNIS,23,24,3,68,37,9,4,139,207
TES-AKD-2026-04722,agusnarpat482@outlook.com,Agus Narpati,TEKNIK INFORMATIKA,33,15,2,117,32,15,3,113,230
TES-AKD-2026-04723,darmajisit98@outlook.com,Darmaji Sitorus,ENERGI BARU TERBARUKAN,30,15,5,105,21,27,2,57,162
TES-AKD-2026-04724,fitriasuar652@gmail.com,Fitria Suartini,PUBLIC POLICY,34,16,0,120,35,10,5,130,250
TES-AKD-2026-04725,mutiasurya40@yahoo.com,Mutia Suryatmi,TEKNIK INFORMATIKA,25,24,1,76,31,17,2,107,183
TES-AKD-2026-04726,bajraginsa279@outlook.com,Bajragin Salahudin,PSIKOLOGI,16,29,5,35,23,27,0,65,100
TES-AKD-2026-04727,bellariyan247@yahoo.com,Bella Riyanti,MANAJEMEN PEMASARAN,41,7,2,157,37,12,1,136,293
TES-AKD-2026-04728,aswaniprab679@gmail.com,Aswani Prabowo,KONVERSI ENERGI,37,11,2,137,26,22,2,82,219
TES-AKD-2026-04729,oniharyant872@pln.co.id,Oni Haryanti,MANAJEMEN KEUANGAN,24,24,2,72,21,29,0,55,127
TES-AKD-2026-04730,makaraardi935@outlook.com,Makara Ardianto,TEKNIK LINGKUNGAN,28,21,1,91,26,20,4,84,175
TES-AKD-2026-04731,wirdalesta295@gmail.com,Wirda Lestari,MANAJEMEN KEUANGAN,18,31,1,41,20,29,1,51,92
TES-AKD-2026-04732,kawacanajm253@pln.co.id,Kawaca Najmudin,MANAJEMEN INVESTASI BANK,17,29,4,39,34,16,0,120,159
TES-AKD-2026-04733,veramardhi585@pln.co.id,Vera Mardhiyah,TEKNIK GEOLOGI,37,12,1,136,20,27,3,53,189
TES-AKD-2026-04734,salimahhar986@gmail.com,Salimah Hartati,SUPPLY CHAIN MANAGEMENT,25,24,1,76,31,14,5,110,186
TES-AKD-2026-04735,kiandramul243@pln.co.id,Kiandra Mulyani,TEKNIK INFORMATIKA,29,20,1,96,14,36,0,20,116
TES-AKD-2026-04736,betaniasur832@gmail.com,Betania Suryatmi,TEKNIK MESIN,39,9,2,147,43,5,2,167,314
TES-AKD-2026-04737,jasminsusa78@gmail.com,Jasmin Susanti,TEKNIK ELEKTRO,39,11,0,145,40,10,0,150,295
TES-AKD-2026-04738,parmanmang935@outlook.com,Parman Mangunsong,TEKNIK SIPIL,42,5,3,163,34,14,2,122,285
TES-AKD-2026-04739,taswirnugr889@outlook.com,Taswir Nugroho,HUKUM,40,7,3,153,44,1,5,175,328
TES-AKD-2026-04740,asirwadasi757@gmail.com,Asirwada Siregar,TEKNIK LISTRIK,24,26,0,70,22,23,5,65,135
TES-AKD-2026-04741,shakilayol472@outlook.com,Shakila Yolanda,SUPPLY CHAIN MANAGEMENT,29,20,1,96,44,3,3,173,269
TES-AKD-2026-04742,mariadipra722@pln.co.id,Mariadi Prakasa,MANAJEMEN,30,15,5,105,27,18,5,90,195
TES-AKD-2026-04743,galuhmaula312@outlook.com,Galuh Maulana,TEKNIK INFORMATIKA,37,11,2,137,37,13,0,135,272
TES-AKD-2026-04744,cagakmahen13@gmail.com,Cagak Mahendra,KEUANGAN,33,15,2,117,30,17,3,103,220
TES-AKD-2026-04745,yuliawidia146@gmail.com,Yulia Widiastuti,MANAJEMEN PROYEK,36,14,0,130,26,19,5,85,215
TES-AKD-2026-04746,devirahmaw449@gmail.com,Devi Rahmawati,MANAJEMEN ASET,40,7,3,153,39,11,0,145,298
TES-AKD-2026-04747,bakiononab749@pln.co.id,Bakiono Nababan,MANAJEMEN RISIKO,41,8,1,156,37,12,1,136,292
TES-AKD-2026-04748,limarprasa880@gmail.com,Limar Prasasta,TEKNIK INFORMATIKA,44,2,4,174,19,29,2,47,221
TES-AKD-2026-04749,dalionomar864@pln.co.id,Daliono Maryadi,AKUNTANSI,32,18,0,110,26,23,1,81,191
TES-AKD-2026-04750,elvinayuni957@pln.co.id,Elvina Yuniar,PROGRAM STUDI LAINNYA NON TEKNIK,30,19,1,101,34,11,5,125,226
TES-AKD-2026-04751,nilamwijay413@yahoo.com,Nilam Wijayanti,MANAJEMEN,26,19,5,85,21,26,3,58,143
TES-AKD-2026-04752,bagiyanain391@pln.co.id,Bagiya Nainggolan,TEKNIK MATERIAL,40,5,5,155,25,22,3,78,233
TES-AKD-2026-04753,hendrasimb505@gmail.com,Hendra Simbolon,MANAJEMEN BISNIS,29,17,4,99,12,33,5,15,114
TES-AKD-2026-04754,parissudia27@gmail.com,Paris Sudiati,TEKNIK INDUSTRI,29,20,1,96,35,14,1,126,222
TES-AKD-2026-04755,mulyonofir981@outlook.com,Mulyono Firgantoro,TEKNIK INDUSTRI,34,13,3,123,38,10,2,142,265
TES-AKD-2026-04756,saadatsiho81@gmail.com,Saadat Sihotang,DIGITAL MARKETING DAN ANALYTICS,35,11,4,129,27,18,5,90,219
TES-AKD-2026-04757,marganasan98@yahoo.com,Margana Santoso,TEKNIK MESIN,38,12,0,140,34,11,5,125,265
TES-AKD-2026-04758,cindyriyan230@pln.co.id,Cindy Riyanti,ADMINISTRASI BISNIS,23,26,1,66,28,20,2,92,158
TES-AKD-2026-04759,nugrahasir438@pln.co.id,Nugraha Siregar,HUKUM,20,28,2,52,28,20,2,92,144
TES-AKD-2026-04760,gastiharya559@outlook.com,Gasti Haryanti,AKUNTANSI,22,28,0,60,36,14,0,130,190
TES-AKD-2026-04761,amisafitri921@gmail.com,Ami Safitri,TEKNIK BIOENERGI,31,15,4,109,19,29,2,47,156
TES-AKD-2026-04762,malawijaya53@yahoo.com,Mala Wijayanti,TEKNIK ELEKTRO,41,9,0,155,31,19,0,105,260
TES-AKD-2026-04763,pujioktavi495@gmail.com,Puji Oktaviani,TEKNIK SIPIL,33,17,0,115,34,16,0,120,235
TES-AKD-2026-04764,gambiraper379@outlook.com,Gambira Permadi,TEKNIK KIMIA,45,0,5,180,45,0,5,180,360
TES-AKD-2026-04765,narjiprase431@gmail.com,Narji Prasetyo,PUBLIC POLICY,33,12,5,120,24,22,4,74,194
TES-AKD-2026-04766,solehkusum411@pln.co.id,Soleh Kusumo,TEKNIK BIOENERGI,41,7,2,157,24,22,4,74,231
TES-AKD-2026-04767,widyalesta357@pln.co.id,Widya Lestari,TEKNIK INFORMATIKA,32,18,0,110,18,30,2,42,152
TES-AKD-2026-04768,cakrabuana538@yahoo.com,Cakrabuana Wahyudin,MATEMATIKA,28,20,2,92,27,21,2,87,179
TES-AKD-2026-04769,auroraagus57@pln.co.id,Aurora Agustina,TEKNIK INFORMATIKA,37,12,1,136,48,0,2,192,328
TES-AKD-2026-04770,pancamaula383@gmail.com,Panca Maulana,MANAJEMEN,29,19,2,97,32,13,5,115,212
TES-AKD-2026-04771,banawipang709@outlook.com,Banawi Pangestu,DATA SCIENCE,23,22,5,70,40,10,0,150,220
TES-AKD-2026-04772,pangestuda946@yahoo.com,Pangestu Damanik,MANAJEMEN RISIKO,35,14,1,126,35,11,4,129,255
TES-AKD-2026-04773,lanjarraja343@outlook.com,Lanjar Rajasa,TEKNIK KIMIA,47,0,3,188,29,19,2,97,285
TES-AKD-2026-04774,aurorahali774@outlook.com,Aurora Halimah,TEKNIK ELEKTRO,16,31,3,33,32,18,0,110,143
TES-AKD-2026-04775,waninurdiy667@gmail.com,Wani Nurdiyanti,ADMINISTRASI BISNIS,31,15,4,109,36,13,1,131,240
TES-AKD-2026-04776,bakiadipra813@outlook.com,Bakiadi Pradana,AKUNTANSI,35,10,5,130,39,6,5,150,280
TES-AKD-2026-04777,larasagust55@yahoo.com,Laras Agustina,ENERGI BARU TERBARUKAN,25,22,3,78,38,11,1,141,219
TES-AKD-2026-04778,perkasasir299@yahoo.com,Perkasa Siregar,TEKNIK KIMIA,42,8,0,160,36,12,2,132,292
TES-AKD-2026-04779,dodomarpau723@yahoo.com,Dodo Marpaung,TEKNIK KIMIA,33,17,0,115,29,18,3,98,213
TES-AKD-2026-04780,gawatipudj408@pln.co.id,Gawati Pudjiastuti,TEKNIK INDUSTRI,30,18,2,102,29,16,5,100,202
TES-AKD-2026-04781,rahmisafit546@outlook.com,Rahmi Safitri,ADMINISTRASI,29,20,1,96,27,23,0,85,181
TES-AKD-2026-04782,lidyanurdi635@pln.co.id,Lidya Nurdiyanti,MATEMATIKA,35,11,4,129,38,8,4,144,273
TES-AKD-2026-04783,lembahguna130@yahoo.com,Lembah Gunawan,KONVERSI ENERGI,22,24,4,64,38,10,2,142,206
TES-AKD-2026-04784,virmansaef754@pln.co.id,Virman Saefullah,TEKNIK ELEKTRO,39,9,2,147,36,10,4,134,281
