NO TES,EMAIL,NAMA,PRODI,SKOR,REKOMENDASI,HASIL
TES-AKD-2026-04448,karenaryan515@gmail.com,Karen Aryani,DATA SCIENCE,22,DISARANKAN,LOLOS
TES-AKD-2026-04449,galionopra543@pln.co.id,Galiono Prasetyo,AKUNTANSI,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04453,ratihriyan259@outlook.com,Ratih Riyanti,MANAJEMEN KEUANGAN,24,DISARANKAN,LOLOS
TES-AKD-2026-04460,siskahastu501@gmail.com,Siska Hastuti,TEKNIK LISTRIK,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04464,taliakusma861@yahoo.com,Talia Kusmawati,DIGITAL MARKETING DAN ANALYTICS,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04467,atmapratam773@yahoo.com,Atma Pratama,TEKNIK SIPIL,26,DISARANKAN,LOLOS
TES-AKD-2026-04471,kiandrahar540@gmail.com,Kiandra Hartati,MANAJEMEN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04477,agnesnurdi880@pln.co.id,Agnes Nurdiyanti,MANAJEMEN BISNIS,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04480,tirtawinar170@pln.co.id,Tirta Winarno,TEKNIK ELEKTRO,21,DISARANKAN,LOLOS
TES-AKD-2026-04485,ameliamand969@outlook.com,Amelia Mandasari,TEKNIK ELEKTRO,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04486,gandiuwais910@outlook.com,Gandi Uwais,BIG DATA DAN BUSINESS INTELLIGENCE,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04488,belindahar403@yahoo.com,Belinda Hartati,ENERGI BARU TERBARUKAN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04492,carubnaing203@pln.co.id,Carub Nainggolan,MANAJEMEN KEUANGAN,21,DISARANKAN,LOLOS
TES-AKD-2026-04495,kartikanas69@pln.co.id,Kartika Nasyiah,KONVERSI ENERGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04502,latikamary755@pln.co.id,Latika Maryati,TEKNIK PERTAMBANGAN,26,DISARANKAN,LOLOS
TES-AKD-2026-04503,hestiharya799@yahoo.com,Hesti Haryanti,TEKNIK GEOLOGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04507,gatotmarpa39@gmail.com,Gatot Marpaung,AKUNTANSI,28,DISARANKAN,LOLOS
TES-AKD-2026-04516,laksanapra964@gmail.com,Laksana Prasasta,TEKNIK KIMIA,27,DISARANKAN,LOLOS
TES-AKD-2026-04520,yuliananas982@yahoo.com,Yuliana Nasyidah,SUPPLY CHAIN MANAGEMENT,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04524,ichahassan364@yahoo.com,Icha Hassanah,TEKNIK BIOENERGI,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04525,ismailiswa699@pln.co.id,Ismail Iswahyudi,HUKUM,24,DISARANKAN,LOLOS
TES-AKD-2026-04528,zalindrawa322@gmail.com,Zalindra Wahyuni,ENERGI BARU TERBARUKAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04533,ihsansuryo671@pln.co.id,Ihsan Suryono,TEKNIK SIPIL,24,DISARANKAN,LOLOS
TES-AKD-2026-04535,agnesnurdi456@gmail.com,Agnes Nurdiyanti,MANAJEMEN INVESTASI BANK,23,DISARANKAN,LOLOS
TES-AKD-2026-04541,vickyperti371@gmail.com,Vicky Pertiwi,TEKNIK SIPIL,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04546,anitahalim297@yahoo.com,Anita Halimah,SAFETY ENGINEERING,10,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04549,ekawaskita641@pln.co.id,Eka Waskita,KESELAMATAN DAN KESEHATAN KERJA,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04552,ekausamah434@gmail.com,Eka Usamah,PROGRAM STUDI LAINNYA TEKNIK,25,DISARANKAN,LOLOS
TES-AKD-2026-04555,damuhidaya562@outlook.com,Damu Hidayanto,SUPPLY CHAIN MANAGEMENT,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04556,verafujiat110@yahoo.com,Vera Fujiati,SUPPLY CHAIN MANAGEMENT,8,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04557,prabunajmu663@pln.co.id,Prabu Najmudin,TEKNIK KIMIA,25,DISARANKAN,LOLOS
TES-AKD-2026-04563,cahyonohak678@outlook.com,Cahyono Hakim,TEKNIK INFORMATIKA,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04571,oktanashir10@pln.co.id,Okta Nashiruddin,MANAJEMEN BISNIS,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04575,galionosih172@yahoo.com,Galiono Sihombing,TEKNIK ELEKTRO,8,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04579,kartairawa128@pln.co.id,Karta Irawan,HUKUM,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04580,aslijanmah454@gmail.com,Aslijan Mahendra,TEKNIK ELEKTRO,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04583,taufiksire248@pln.co.id,Taufik Siregar,TEKNIK ELEKTRO,8,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04584,yunisuarti284@gmail.com,Yuni Suartini,SAFETY ENGINEERING,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04591,onihandaya605@outlook.com,Oni Handayani,PSIKOLOGI,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04602,mujurmaula925@pln.co.id,Mujur Maulana,TEKNIK BIOENERGI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04603,harjayasih612@gmail.com,Harjaya Sihombing,TEKNIK GEODESI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04611,raditharya704@yahoo.com,Radit Haryanto,TEKNIK MESIN,27,DISARANKAN,LOLOS
TES-AKD-2026-04613,wanikuswan191@gmail.com,Wani Kuswandari,SUPPLY CHAIN MANAGEMENT,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04625,ichalestar820@yahoo.com,Icha Lestari,TEKNIK BIOENERGI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04635,cahyadipra191@gmail.com,Cahyadi Prasasta,KONVERSI ENERGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04645,heryantosi656@outlook.com,Heryanto Simanjuntak,TEKNIK LINGKUNGAN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04648,dinahassan849@pln.co.id,Dina Hassanah,TEKNIK INDUSTRI,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04650,taufiknajm565@pln.co.id,Taufik Najmudin,ADMINISTRASI BISNIS,24,DISARANKAN,LOLOS
TES-AKD-2026-04652,titinhanda185@pln.co.id,Titin Handayani,TEKNIK KIMIA,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04654,ismailsiho134@yahoo.com,Ismail Sihombing,HUKUM,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04655,hestipurna864@outlook.com,Hesti Purnawati,TEKNIK GEODESI,23,DISARANKAN,LOLOS
TES-AKD-2026-04658,tirafarida755@pln.co.id,Tira Farida,TEKNIK SIPIL,23,DISARANKAN,LOLOS
TES-AKD-2026-04661,tirtawasit506@gmail.com,Tirta Wasita,AKUNTANSI,30,DISARANKAN,LOLOS
TES-AKD-2026-04662,saadatwalu759@gmail.com,Saadat Waluyo,TEKNIK INFORMATIKA,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04663,wanimardhi709@gmail.com,Wani Mardhiyah,TEKNIK LISTRIK,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04665,kamidinnat292@outlook.com,Kamidin Natsir,MANAJEMEN PROYEK,23,DISARANKAN,LOLOS
TES-AKD-2026-04666,jailjailan354@yahoo.com,Jail Jailani,MANAJEMEN PROYEK,23,DISARANKAN,LOLOS
TES-AKD-2026-04668,kiandrawij364@pln.co.id,Kiandra Wijayanti,ELEKTRONIKA DAN INSTRUMENTASI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04669,prabawafir80@yahoo.com,Prabawa Firmansyah,AKUNTANSI,22,DISARANKAN,LOLOS
TES-AKD-2026-04672,fathonahha624@pln.co.id,Fathonah Hastuti,KEUANGAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04673,tirtayasaw246@gmail.com,Tirtayasa Waskita,SAFETY ENGINEERING,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04674,julianovit300@outlook.com,Julia Novitasari,ENERGI BARU TERBARUKAN,21,DISARANKAN,LOLOS
TES-AKD-2026-04675,gangsaraja929@yahoo.com,Gangsa Rajasa,MANAJEMEN BISNIS,21,DISARANKAN,LOLOS
TES-AKD-2026-04676,hildawulan884@gmail.com,Hilda Wulandari,MANAJEMEN,24,DISARANKAN,LOLOS
TES-AKD-2026-04677,gambirasap179@pln.co.id,Gambira Saptono,TEKNIK KIMIA,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04678,oktasitoru913@yahoo.com,Okta Sitorus,TEKNIK GEODESI,26,DISARANKAN,LOLOS
TES-AKD-2026-04685,irianayuni44@pln.co.id,Iriana Yuniar,SAFETY ENGINEERING,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04686,kacungpras130@pln.co.id,Kacung Prasetya,TEKNIK BIOENERGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04693,vivihanday56@yahoo.com,Vivi Handayani,HUKUM,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04694,cahyononaj987@outlook.com,Cahyono Najmudin,AKUNTANSI,25,DISARANKAN,LOLOS
TES-AKD-2026-04695,cagernajmu161@yahoo.com,Cager Najmudin,SAFETY ENGINEERING,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04704,ikinardian148@pln.co.id,Ikin Ardianto,TEKNIK BIOENERGI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04707,makutasitu649@yahoo.com,Makuta Situmorang,ENERGI BARU TERBARUKAN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04708,auroralail656@yahoo.com,Aurora Lailasari,TEKNIK INFORMATIKA,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04715,juliarahma469@outlook.com,Julia Rahmawati,MANAJEMEN,22,DISARANKAN,LOLOS
TES-AKD-2026-04724,fitriasuar652@gmail.com,Fitria Suartini,PUBLIC POLICY,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04726,bajraginsa279@outlook.com,Bajragin Salahudin,PSIKOLOGI,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04727,bellariyan247@yahoo.com,Bella Riyanti,MANAJEMEN PEMASARAN,21,DISARANKAN,LOLOS
TES-AKD-2026-04729,oniharyant872@pln.co.id,Oni Haryanti,MANAJEMEN KEUANGAN,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04737,jasminsusa78@gmail.com,Jasmin Susanti,TEKNIK ELEKTRO,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04743,galuhmaula312@outlook.com,Galuh Maulana,TEKNIK INFORMATIKA,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04745,yuliawidia146@gmail.com,Yulia Widiastuti,MANAJEMEN PROYEK,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04746,devirahmaw449@gmail.com,Devi Rahmawati,MANAJEMEN ASET,29,DISARANKAN,LOLOS
TES-AKD-2026-04750,elvinayuni957@pln.co.id,Elvina Yuniar,PROGRAM STUDI LAINNYA NON TEKNIK,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04754,parissudia27@gmail.com,Paris Sudiati,TEKNIK INDUSTRI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04758,cindyriyan230@pln.co.id,Cindy Riyanti,ADMINISTRASI BISNIS,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04761,amisafitri921@gmail.com,Ami Safitri,TEKNIK BIOENERGI,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04767,widyalesta357@pln.co.id,Widya Lestari,TEKNIK INFORMATIKA,25,DISARANKAN,LOLOS
TES-AKD-2026-04775,waninurdiy667@gmail.com,Wani Nurdiyanti,ADMINISTRASI BISNIS,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04777,larasagust55@yahoo.com,Laras Agustina,ENERGI BARU TERBARUKAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04778,perkasasir299@yahoo.com,Perkasa Siregar,TEKNIK KIMIA,10,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04780,gawatipudj408@pln.co.id,Gawati Pudjiastuti,TEKNIK INDUSTRI,29,DISARANKAN,LOLOS
TES-AKD-2026-04784,virmansaef754@pln.co.id,Virman Saefullah,TEKNIK ELEKTRO,22,DISARANKAN,LOLOS
TES-AKD-2026-04786,ichapuspit680@yahoo.com,Icha Puspita,KESELAMATAN DAN KESEHATAN KERJA,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04792,digdayamus557@outlook.com,Digdaya Mustofa,TEKNIK GEOLOGI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04798,juliapuspi742@yahoo.com,Julia Puspita,TEKNIK LINGKUNGAN,25,DISARANKAN,LOLOS
TES-AKD-2026-04802,omantampub515@yahoo.com,Oman Tampubolon,TEKNIK MESIN,24,DISARANKAN,LOLOS
TES-AKD-2026-04804,septisafit94@pln.co.id,Septi Safitri,TEKNIK LISTRIK,26,DISARANKAN,LOLOS
TES-AKD-2026-04809,cecepzulka474@gmail.com,Cecep Zulkarnain,SAFETY ENGINEERING,21,DISARANKAN,LOLOS
TES-AKD-2026-04811,michellena506@outlook.com,Michelle Nasyidah,MANAJEMEN BISNIS,9,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04817,samiahwahy740@yahoo.com,Samiah Wahyuni,DATA SCIENCE,21,DISARANKAN,LOLOS
TES-AKD-2026-04819,gandabudim664@outlook.com,Ganda Budiman,PSIKOLOGI,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04820,ananuraini874@pln.co.id,Ana Nuraini,DATA SCIENCE,23,DISARANKAN,LOLOS
TES-AKD-2026-04822,caketlatup731@outlook.com,Caket Latupono,DATA SCIENCE,9,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04826,darmajimah546@pln.co.id,Darmaji Maheswara,TEKNIK SIPIL,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04830,gandiprayo216@gmail.com,Gandi Prayoga,ENERGI BARU TERBARUKAN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04835,gantarwahy846@pln.co.id,Gantar Wahyudin,MANAJEMEN BISNIS,23,DISARANKAN,LOLOS
TES-AKD-2026-04837,darujanuar389@pln.co.id,Daru Januar,TEKNIK BIOENERGI,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04842,primasiman789@outlook.com,Prima Simanjuntak,TEKNIK INFORMATIKA,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04844,caketsamos922@yahoo.com,Caket Samosir,TEKNIK MATERIAL,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04845,yanceagust829@outlook.com,Yance Agustina,TEKNIK SIPIL,25,DISARANKAN,LOLOS
TES-AKD-2026-04855,haniprastu444@yahoo.com,Hani Prastuti,ELEKTRONIKA DAN INSTRUMENTASI,22,DISARANKAN,LOLOS
TES-AKD-2026-04856,ibrahimnab760@outlook.com,Ibrahim Nababan,MANAJEMEN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04865,marsudisan855@pln.co.id,Marsudi Santoso,MANAJEMEN,22,DISARANKAN,LOLOS
TES-AKD-2026-04866,jonomandal978@outlook.com,Jono Mandala,TEKNIK ELEKTRO,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04871,yanilailas343@outlook.com,Yani Lailasari,MANAJEMEN ASET,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04875,jaimansapt108@gmail.com,Jaiman Saptono,AKUNTANSI,25,DISARANKAN,LOLOS
TES-AKD-2026-04877,warsaharya696@pln.co.id,Warsa Haryanto,PROGRAM STUDI LAINNYA TEKNIK,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04883,caturangga419@outlook.com,Caturangga Nainggolan,TEKNIK PERTAMBANGAN,27,DISARANKAN,LOLOS
TES-AKD-2026-04886,zulaikhawi114@outlook.com,Zulaikha Wijayanti,KOMUNIKASI,28,DISARANKAN,LOLOS
TES-AKD-2026-04888,kamilanura479@pln.co.id,Kamila Nuraini,MANAJEMEN ASET,9,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04889,marsudipra687@outlook.com,Marsudi Prabowo,TEKNIK ELEKTRO,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04897,nasimrajas411@yahoo.com,Nasim Rajasa,MANAJEMEN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04898,mahmudmarb491@gmail.com,Mahmud Marbun,MANAJEMEN ASET,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04900,reksarajat721@pln.co.id,Reksa Rajata,TEKNIK INFORMATIKA,30,DISARANKAN,LOLOS
TES-AKD-2026-04907,gadingmans772@gmail.com,Gading Mansur,MANAJEMEN PROYEK,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04909,irmalaksit699@pln.co.id,Irma Laksita,ADMINISTRASI BISNIS,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04913,bajraginhi335@outlook.com,Bajragin Hidayat,MANAJEMEN INVESTASI BANK,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04915,kasiransar377@outlook.com,Kasiran Saragih,ENERGI BARU TERBARUKAN,26,DISARANKAN,LOLOS
TES-AKD-2026-04919,puputlaila502@gmail.com,Puput Lailasari,MANAJEMEN,30,DISARANKAN,LOLOS
TES-AKD-2026-04922,murtifirma410@gmail.com,Murti Firmansyah,TEKNIK SIPIL,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04933,rinifarida686@yahoo.com,Rini Farida,TEKNIK PERTAMBANGAN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04934,wisnumaula912@gmail.com,Wisnu Maulana,MANAJEMEN INVESTASI BANK,21,DISARANKAN,LOLOS
TES-AKD-2026-04935,rusmanpang611@gmail.com,Rusman Pangestu,MATEMATIKA,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04936,nilamsurya164@pln.co.id,Nilam Suryatmi,KEUANGAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04939,irmanurain458@gmail.com,Irma Nuraini,HUKUM,8,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04941,sidiqsiman167@pln.co.id,Sidiq Simanjuntak,KOMUNIKASI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04944,pariswijay400@pln.co.id,Paris Wijayanti,TEKNIK BIOENERGI,21,DISARANKAN,LOLOS
TES-AKD-2026-04946,alikaperma278@pln.co.id,Alika Permata,PUBLIC POLICY,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04947,rainaharta589@outlook.com,Raina Hartati,KOMUNIKASI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04951,syahrinira958@pln.co.id,Syahrini Rahayu,TEKNIK MATERIAL,22,DISARANKAN,LOLOS
TES-AKD-2026-04960,adhiarjase278@gmail.com,Adhiarja Setiawan,TEKNIK ELEKTRO,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04964,luhungmans340@yahoo.com,Luhung Mansur,MANAJEMEN KEUANGAN,22,DISARANKAN,LOLOS
TES-AKD-2026-04967,hafshahlak295@outlook.com,Hafshah Laksita,TEKNIK INFORMATIKA,26,DISARANKAN,LOLOS
TES-AKD-2026-04973,adiarjamus715@pln.co.id,Adiarja Mustofa,HUKUM,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04974,herutariho209@yahoo.com,Heru Tarihoran,MANAJEMEN KEUANGAN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04977,candrakant940@yahoo.com,Candrakanta Haryanto,TEKNIK INFORMATIKA,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04979,latifprada239@gmail.com,Latif Pradana,TEKNIK PERTAMBANGAN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-04981,bakiantose628@pln.co.id,Bakianto Setiawan,TEKNIK INFORMATIKA,23,DISARANKAN,LOLOS
TES-AKD-2026-04982,kenzieprat990@outlook.com,Kenzie Pratama,TEKNIK ELEKTRO,24,DISARANKAN,LOLOS
TES-AKD-2026-04988,michellele935@yahoo.com,Michelle Lestari,TEKNIK BIOENERGI,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04994,farhunnisa745@outlook.com,Farhunnisa Pudjiastuti,MANAJEMEN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-04997,dalimawahy310@pln.co.id,Dalima Wahyuni,AKUNTANSI,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05002,gabriellaw234@yahoo.com,Gabriella Wijayanti,MANAJEMEN PEMASARAN,27,DISARANKAN,LOLOS
TES-AKD-2026-05003,anaharyant879@yahoo.com,Ana Haryanti,MANAJEMEN KEUANGAN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-05004,putisuryat274@gmail.com,Puti Suryatmi,TEKNIK BIOENERGI,24,DISARANKAN,LOLOS
TES-AKD-2026-05005,septipalas852@gmail.com,Septi Palastri,TEKNIK MESIN,30,DISARANKAN,LOLOS
TES-AKD-2026-05010,sabarsuwar605@gmail.com,Sabar Suwarno,TEKNIK SIPIL,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05012,bambangnat394@gmail.com,Bambang Natsir,TEKNIK PERTAMBANGAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05013,mulyononai44@outlook.com,Mulyono Nainggolan,ENERGI BARU TERBARUKAN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-05022,belindahar232@yahoo.com,Belinda Hariyah,KOMUNIKASI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05026,jasminhass765@outlook.com,Jasmin Hassanah,PROGRAM STUDI LAINNYA TEKNIK,21,DISARANKAN,LOLOS
TES-AKD-2026-05027,kartabudim260@pln.co.id,Karta Budiman,KOMUNIKASI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05032,nalarsihom777@gmail.com,Nalar Sihombing,MANAJEMEN PEMASARAN,27,DISARANKAN,LOLOS
TES-AKD-2026-05033,tantriutam441@gmail.com,Tantri Utami,PSIKOLOGI,21,DISARANKAN,LOLOS
TES-AKD-2026-05037,silviauyai295@gmail.com,Silvia Uyainah,MANAJEMEN ASET,21,DISARANKAN,LOLOS
TES-AKD-2026-05042,radenprabo839@outlook.com,Raden Prabowo,KOMUNIKASI,25,DISARANKAN,LOLOS
TES-AKD-2026-05052,usmanlazua146@yahoo.com,Usman Lazuardi,MANAJEMEN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05053,ajiminbudi567@gmail.com,Ajimin Budiman,MANAJEMEN INVESTASI BANK,8,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-05060,galarmusto530@outlook.com,Galar Mustofa,ENERGI BARU TERBARUKAN,25,DISARANKAN,LOLOS
TES-AKD-2026-05066,juliamardh584@yahoo.com,Julia Mardhiyah,DIGITAL MARKETING DAN ANALYTICS,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05068,panduzulka539@gmail.com,Pandu Zulkarnain,SAFETY ENGINEERING,27,DISARANKAN,LOLOS
TES-AKD-2026-05072,zulaikhaut88@outlook.com,Zulaikha Utami,TEKNIK INFORMATIKA,23,DISARANKAN,LOLOS
TES-AKD-2026-05073,rahayupudj833@gmail.com,Rahayu Pudjiastuti,MANAJEMEN PEMASARAN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05076,agussuryon997@yahoo.com,Agus Suryono,TEKNIK INDUSTRI,22,DISARANKAN,LOLOS
TES-AKD-2026-05079,mahfudguna686@gmail.com,Mahfud Gunawan,TEKNIK INFORMATIKA,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-05082,victoriawi788@yahoo.com,Victoria Wijayanti,ADMINISTRASI BISNIS,25,DISARANKAN,LOLOS
TES-AKD-2026-05085,cahyantowi158@yahoo.com,Cahyanto Winarno,PSIKOLOGI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05087,melindanam828@pln.co.id,Melinda Namaga,MANAJEMEN,24,DISARANKAN,LOLOS
TES-AKD-2026-05099,restuusada619@outlook.com,Restu Usada,TEKNIK BIOENERGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05102,lalitauyai331@pln.co.id,Lalita Uyainah,KOMUNIKASI,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-05111,padmamarya955@yahoo.com,Padma Maryati,TEKNIK ELEKTRO,27,DISARANKAN,LOLOS
TES-AKD-2026-05112,mahesanain185@yahoo.com,Mahesa Nainggolan,ADMINISTRASI BISNIS,21,DISARANKAN,LOLOS
TES-AKD-2026-05123,faizahpras897@yahoo.com,Faizah Prastuti,MATEMATIKA,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05125,ihsanhardi406@yahoo.com,Ihsan Hardiansyah,MANAJEMEN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-05126,rosmanardi234@yahoo.com,Rosman Ardianto,TEKNIK SIPIL,22,DISARANKAN,LOLOS
TES-AKD-2026-05131,rafidhutag333@yahoo.com,Rafid Hutagalung,TEKNIK MATERIAL,14,TIDAK DISARANKAN,TIDAK LOLOS
